,0,1,2
185,"COL author_list VAL {""Yang M"",""Li J"",""Li Y"",""�Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""} ","COL author_list VAL {""Yang M"",""Li J"",""Li Y"",""�Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""} ",1
186,"COL author_list VAL {""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""} ","COL author_list VAL {""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""} ",0
187,COL article_title VAL Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk h�uman papillomavirus infection ,COL article_title VAL Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk h�uman papillomavirus infection ,1
188,COL article_title VAL Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection ,COL article_title VAL Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection ,0
189,COL article_language VAL eng ,COL article_language VAL eng ,0
190,COL journal_title VAL Acta ̃Obstet Gynecol Scand ,COL journal_title VAL Acta ̃Obstet Gynecol Scand ,1
191,COL journal_title VAL Acta Obstet Gynecol Scand ,COL journal_title VAL Acta Obstet Gynecol Scand ,0
192,COL jounral_abbreviation VAL Acta obstetricia et gynecologica Scandinavica ,COL jounral_abbreviation VAL Acta obstetricia et gynecologica Scandinavica ,0
193,COL journal_issn VAL 0001-6349 (Print) 0001-6349 ,COL journal_issn VAL 0001-6349 (Print) 0001-6349 ,0
194,COL article_jvolumn VAL  ,COL article_jvolumn VAL  ,1
195,COL article_jvolumn VAL 92 ,COL article_jvolumn VAL 92 ,0
196,COL article_jissue VAL  ,COL article_jissue VAL  ,1
197,COL article_jissue VAL 6 ,COL article_jissue VAL 6 ,0
198,COL article_jcreated_at VAL 1/1/13 ,COL article_jcreated_at VAL 1/1/13 ,1
199,COL article_jcreated_at VAL 1/13/01 ,COL article_jcreated_at VAL 1/13/01 ,0
200,COL article_pagination VAL 711-5 ,COL article_pagination VAL 711-5 ,0
201,"COL author_list VAL {""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",̄""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""} ","COL author_list VAL {""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",̄""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""} ",1
202,"COL author_list VAL {""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""} ","COL author_list VAL {""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""} ",0
203,COL article_title VAL Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus ̂electroanatomic mapping ,COL article_title VAL Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus ̂electroanatomic mapping ,1
204,COL article_title VAL Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping ,COL article_title VAL Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping ,0
205,COL article_language VAL  ,COL article_language VAL  ,0
206,COL journal_title VAL Heart Rhỳthm ,COL journal_title VAL Heart Rhỳthm ,1
207,COL journal_title VAL Heart Rhythm ,COL journal_title VAL Heart Rhythm ,0
208,COL jounral_abbreviation VAL  ,COL jounral_abbreviation VAL  ,0
209,COL journal_issn VAL 1547-5271 ,COL journal_issn VAL 1547-5271 ,0
210,COL article_jvolumn VAL  ,COL article_jvolumn VAL  ,1
211,COL article_jvolumn VAL 8 ,COL article_jvolumn VAL 8 ,0
212,COL article_jissue VAL  ,COL article_jissue VAL  ,1
213,COL article_jissue VAL 5 ,COL article_jissue VAL 5 ,0
214,COL article_jcreated_at VAL 1/1/11 ,COL article_jcreated_at VAL 1/1/11 ,1
215,COL article_jcreated_at VAL 1/11/01 ,COL article_jcreated_at VAL 1/11/01 ,0
216,COL article_pagination VAL S40 ,COL article_pagination VAL S40 ,0
217,"COL author_list VAL {""C. Hamilton-Craig"",""S. Bartoletti"",""M. Casella"",""F. Perna"",""M. L. Narducci"",""P. Santangeli"",""F. Pintus"",""A. Natale"",""A. Dello Russo"",""G. Pelargonio"",""G. Bencardino"",""J. D. Burkhardt"",""F. ̀Bellocci"",""L. Di Biase""} ","COL author_list VAL {""C. Hamilton-Craig"",""S. Bartoletti"",""M. Casella"",""F. Perna"",""M. L. Narducci"",""P. Santangeli"",""F. Pintus"",""A. Natale"",""A. Dello Russo"",""G. Pelargonio"",""G. Bencardino"",""J. D. Burkhardt"",""F. ̀Bellocci"",""L. Di Biase""} ",1
218,"COL author_list VAL {""C. Hamilton-Craig"",""S. Bartoletti"",""M. Casella"",""F. Perna"",""M. L. Narducci"",""P. Santangeli"",""F. Pintus"",""A. Natale"",""A. Dello Russo"",""G. Pelargonio"",""G. Bencardino"",""J. D. Burkhardt"",""F. Bellocci"",""L. Di Biase""} ","COL author_list VAL {""C. Hamilton-Craig"",""S. Bartoletti"",""M. Casella"",""F. Perna"",""M. L. Narducci"",""P. Santangeli"",""F. Pintus"",""A. Natale"",""A. Dello Russo"",""G. Pelargonio"",""G. Bencardino"",""J. D. Burkhardt"",""F. Bellocci"",""L. Di Biase""} ",0
219,COL article_title VAL Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of prox�imal humeral fractures ,COL article_title VAL Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of prox�imal humeral fractures ,1
220,COL article_title VAL Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures ,COL article_title VAL Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures ,0
221,COL article_language VAL eng ,COL article_language VAL eng ,0
222,COL journal_title VAL ̀ ,COL journal_title VAL ̀ ,1
223,COL journal_title VAL  ,COL journal_title VAL  ,0
224,COL jounral_abbreviation VAL  ,COL jounral_abbreviation VAL  ,0
225,COL journal_issn VAL  ,COL journal_issn VAL  ,0
226,COL article_jvolumn VAL  ,COL article_jvolumn VAL  ,1
227,COL article_jvolumn VAL 35 ,COL article_jvolumn VAL 35 ,0
228,COL article_jissue VAL  ,COL article_jissue VAL  ,1
229,COL article_jissue VAL 8 ,COL article_jissue VAL 8 ,0
230,COL article_jcreated_at VAL 1/1/11 ,COL article_jcreated_at VAL 1/1/11 ,1
231,COL article_jcreated_at VAL 1/11/01 ,COL article_jcreated_at VAL 1/11/01 ,0
232,COL article_pagination VAL 1245-50 ,COL article_pagination VAL 1245-50 ,0
233,"COL author_list VAL {""T. Topp"",""C. Kuhne"",""S. Ruchholtz"",""U. Lewan"",""A.́ Kruger"",""T. Muller"",""R. Zettl""} ","COL author_list VAL {""T. Topp"",""C. Kuhne"",""S. Ruchholtz"",""U. Lewan"",""A.́ Kruger"",""T. Muller"",""R. Zettl""} ",1
234,"COL author_list VAL {""T. Topp"",""C. Kuhne"",""S. Ruchholtz"",""U. Lewan"",""A. Kruger"",""T. Muller"",""R. Zettl""} ","COL author_list VAL {""T. Topp"",""C. Kuhne"",""S. Ruchholtz"",""U. Lewan"",""A. Kruger"",""T. Muller"",""R. Zettl""} ",0
235,COL article_title VAL Latex allerḡy in atopic children. ,COL article_title VAL Latex allerḡy in atopic children. ,1
236,COL article_title VAL Latex allergy in atopic children. ,COL article_title VAL Latex allergy in atopic children. ,0
237,COL article_language VAL eng ,COL article_language VAL eng ,0
238,COL journal_title VAL British Journ̄al of Dermatology.  ,COL journal_title VAL British Journ̄al of Dermatology.  ,1
