,id,title,category,brand,modelno,price,query,category_predict,brand_predict
415,415,atrend 10 pro series dual vented subwoofer kicker l5 l7 empty enclosure - atrend 10kdv,speaker parts components,atrend,,44.31,"{'title': 'atrend 10 pro series dual vented subwoofer kicker l5 l7 empty enclosure - atrend 10kdv', 'category': 'speaker parts components', 'brand': 'atrend', 'price': 44.31}","['subwoofer boxes and enclosures', 'speaker parts components', 'amplifier installation', 'component subwoofers', 'speaker installation']","['atrend', 'acoustic research', 'kicker', 'atrend-bbox', 'sound around']"
425,425,asus wireless-g access point wl-330ge,wireless access points,asus,wl-330ge,41.99,"{'title': 'asus wireless-g access point wl-330ge', 'category': 'wireless access points', 'brand': 'asus', 'modelno': 'wl-330ge', 'price': 41.99}","['network cards', 'hardware', 'usb network adapters', 'laptop network adapters', 'wireless access points']","['just wireless', 'netgear', 'asus', 'global marketing partners', 'premiertek']"
442,442,apple ipod classic 80 gb black 6th generation old model,mp3 players,apple,mb147ll/a,,"{'title': 'apple ipod classic 80 gb black 6th generation old model', 'category': 'mp3 players', 'brand': 'apple', 'modelno': 'mb147ll/a'}","['boomboxes', 'mp3 players', 'portable audio video', 'usb flash drives', 'speaker systems']","['iphone', 'gpx', 'apple', 'action', 'imation']"
447,447,amzer foldo stand up for apple ipad dell streak samsung galaxy tab blackberry playbook - black,mounts,amzer,amz89491,12.69,"{'title': 'amzer foldo stand up for apple ipad dell streak samsung galaxy tab blackberry playbook - black', 'category': 'mounts', 'brand': 'amzer', 'modelno': 'amz89491', 'price': 12.69}","['speaker mounts', 'audio car mounts', 'vehicle mounts', 'mounts', 'accessories']","['accessory genie', 'amzer', 'allsop', 'ergotron', 'bracketron']"
452,452,aluratek ahdvc01f 2.4-inch lcd hd dv camcorder silver,,aluratek,ahdvc01f,59.99,"{'title': 'aluratek ahdvc01f 2.4-inch lcd hd dv camcorder silver', 'brand': 'aluratek', 'modelno': 'ahdvc01f', 'price': 59.99}","['disc players recorders', 'car video', 'camcorders', 'televisions video', 'camera photo']","['viewhd', 'abc products', 'digital', 'vistaquest', 'aluratek']"
481,481,3 4inch black on white pt-30 35 8000 pc,labeling tapes,brother,tx2411,21.7,"{'title': '3 4inch black on white pt-30 35 8000 pc', 'category': 'labeling tapes', 'brand': 'brother', 'modelno': 'tx2411', 'price': 21.7}","['packing tape', 'labels indexes stamps', 'printer labels laser inkjet', 'adhesive tapes', 'labeling tapes']","['seiko instruments', 'brother p-touch', 'seiko', 'brother', 'buddy']"
483,483,ge 45606 z-wave technology 2-way dimmer switch,switches,general electric,45606,43.29,"{'title': 'ge 45606 z-wave technology 2-way dimmer switch', 'category': 'switches', 'brand': 'general electric', 'modelno': '45606', 'price': 43.29}","['power converters', 'switches', 'dimmer switches', 'electrical', 'switchers']","['general electric', 'georgia pacific', 'gsi', 'general imaging', 'jasco']"
489,489,3m wireless ergonomic mouse small proven to alleviate pain and discomfort of repetitive stress injuries em550gps,mice,3m,em550gps,58.99,"{'title': '3m wireless ergonomic mouse small proven to alleviate pain and discomfort of repetitive stress injuries em550gps', 'category': 'mice', 'brand': '3m', 'modelno': 'em550gps', 'price': 58.99}","['mice', 'combs spines', 'keyboard mouse combos', 'basic', 'wrist rests']","['lifeworks', 'ccm', 'micro innovations', '3m', 'adesso']"
507,507,1016f platt guardsman ata 300 shipping case,projector bags cases,guardsman,,,"{'title': '1016f platt guardsman ata 300 shipping case', 'category': 'projector bags cases', 'brand': 'guardsman'}","['dvd cases', 'media storage organization', 'projector bags cases', 'projector accessories', 'bags cases']","['dixon', 'platt cases', 'guardsman', 'platt', 'draper']"
530,530,dane-elec 16 gb class 4 sdhc flash memory card da-sd-16gb-r,blank media,dane-elec,da-sd-16gb-r,24.54,"{'title': 'dane-elec 16 gb class 4 sdhc flash memory card da-sd-16gb-r', 'category': 'blank media', 'brand': 'dane-elec', 'modelno': 'da-sd-16gb-r', 'price': 24.54}","['memory cards', 'blank media', 'cd-r discs', 'hard drive enclosures', 'memory card adapters']","['jensen', 'dane', 'lexar', 'domke', 'dane-elec']"
531,531,dalite multi-mask imager 52 inchx92 inch high power projection screen,home audio theater,da-lite,,6119.0,"{'title': 'dalite multi-mask imager 52 inchx92 inch high power projection screen', 'category': 'home audio theater', 'brand': 'da-lite', 'price': 6119.0}","['video projector accessories', 'projector accessories', 'home audio theater', 'projection screens', 'video projectors']","['draper', 'da-lite', 'dalite', 'artistic', 'da-lite screen']"
543,543,creative d100 wireless bluetooth speakers - green 51mf8090aa004,computer speakers,creative labs,51mf8090aa004,79.99,"{'title': 'creative d100 wireless bluetooth speakers - green 51mf8090aa004', 'category': 'computer speakers', 'brand': 'creative labs', 'modelno': '51mf8090aa004', 'price': 79.99}","['keyboard mouse combos', 'touch pads', 'speakers', 'computer speakers', 'programmable']","['adobe', 'micro innovations', 'creative labs', 'genius', 'creative']"
594,594,clover electronics loc200 vcr dvr lock box with fan - medium black,surveillance cameras,clover,loc200,91.11,"{'title': 'clover electronics loc200 vcr dvr lock box with fan - medium black', 'category': 'surveillance cameras', 'brand': 'clover', 'modelno': 'loc200', 'price': 91.11}","['bullet cameras', 'simulated cameras', 'surveillance cameras', 'hidden cameras', 'camera photo']","['rainbow', 'satechi', 'clover', 'pioneer', 'iris']"
598,598,clickfree automatic backup 500 gb usb 2.0 portable external hard drive hd525 pearl white,computers accessories,clickfree,525-1003-100,,"{'title': 'clickfree automatic backup 500 gb usb 2.0 portable external hard drive hd525 pearl white', 'category': 'computers accessories', 'brand': 'clickfree', 'modelno': '525-1003-100'}","['hard drive bags', 'computers accessories', 'usb flash drives', 'external data storage', 'external hard drives']","['smartdisk', 'premiertek', 'micro innovations', 'clickfree', 'plustek']"
636,636,canon photocyan bci-6pc genuine canon ink tank,inkjet printer ink,canon,4709a003,12.11,"{'title': 'canon photocyan bci-6pc genuine canon ink tank', 'category': 'inkjet printer ink', 'brand': 'canon', 'modelno': '4709a003', 'price': 12.11}","['inkjet printer ink', 'c', 'inkjet printers', 'laser printer toner', 'printer ink toner']","['compatible', 'lexmark', 'canon', 'ocinkjet', 'unknown']"
640,640,canon imageclass d1150 laser multifunction copier 3478b005aa,,canon,d1150,457.41,"{'title': 'canon imageclass d1150 laser multifunction copier 3478b005aa', 'brand': 'canon', 'modelno': 'd1150', 'price': 457.41}","['printing', 'laser printers', 'laser all-in-one printers', 'printer finishers', 'copiers']","['ricoh', 'canon', 'lexmark', 'hp', 'hewlett packard office']"
655,655,cables unlimited utp-1400-15b cat5e snagless patch cable 15 feet blue,accessories supplies,cables unlimited,utp-1400-15b,6.09,"{'title': 'cables unlimited utp-1400-15b cat5e snagless patch cable 15 feet blue', 'category': 'accessories supplies', 'brand': 'cables unlimited', 'modelno': 'utp-1400-15b', 'price': 6.09}","['accessories supplies', 'amps', 'ethernet cables', 'cables interconnects', 'car audio video']","['cables unlimited', 'cables to go', 'beyond', 'siig', 'sf cable']"
671,671,cables to go 02801 db25 male to c36 male parallel printer cable beige 15 feet 4.57 meters,parallel cables,cables to go,02801,7.88,"{'title': 'cables to go 02801 db25 male to c36 male parallel printer cable beige 15 feet 4.57 meters', 'category': 'parallel cables', 'brand': 'cables to go', 'modelno': '02801', 'price': 7.88}","['cables interconnects', 'parallel cables', 'modem cables', 'printer accessories', 'serial cables']","['mpi', 'ctg', 'global marketing partners', 'eforcity', 'cables to go']"
675,675,buffalo technology cloudstor pro 2-bay 2 tb 1 x 2 tb gigabit ethernet high performance network storage cs-wv2 .0 1d black,network attached storage,buffalo technology,cs-wv2 .0 / 1d,234.46,"{'title': 'buffalo technology cloudstor pro 2-bay 2 tb 1 x 2 tb gigabit ethernet high performance network storage cs-wv2 .0 1d black', 'category': 'network attached storage', 'brand': 'buffalo technology', 'modelno': 'cs-wv2 .0 / 1d', 'price': 234.46}","['hubs', 'computers accessories', 'uninterrupted power supply ups', 'networking products', 'network attached storage']","['buffalo technology', 'plextor', 'buffalo', 'rnd power solutions', 'netgear']"
687,687,netgear fs605na 5-port fast ethernet switch,switches,netgear,fs605na,21.99,"{'title': 'netgear fs605na 5-port fast ethernet switch', 'category': 'switches', 'brand': 'netgear', 'modelno': 'fs605na', 'price': 21.99}","['routers', 'switches', 'hubs', 'kvm switches', 'networking products']","['tripp lite', 'cisco', 'lantronix', 'netgear', 'lutron']"
692,692,national brand 33001 - 5-subject wire notebook college rule 11 x 8-7 8 white 200 sheets,storage presentation materials,national,,21.26,"{'title': 'national brand 33001 - 5-subject wire notebook college rule 11 x 8-7 8 white 200 sheets', 'category': 'storage presentation materials', 'brand': 'national', 'price': 21.26}","['business paper products', 'storage presentation materials', 'printer accessories', 'wide-format paper', 'copy multipurpose paper']","[""black n ' red"", 'tops', 'ddi', 'rubbermaid', 'national']"
707,707,motorola protective gel case for motorola xoom purple motorola retail packaging,cases sleeves,,89487n,,"{'title': 'motorola protective gel case for motorola xoom purple motorola retail packaging', 'category': 'cases sleeves', 'modelno': '89487n'}","['covers skins', 'portable audio video', 'cases', 'sleeves', 'cases sleeves']","['palm', 'ibm', 'motorola', 'minisuit', 'blackberry']"
714,714,motorola 53728 flexible ear receiver for the talkabout 2-way radio two-way radios scanners frs gmrs 2-way radio accessories,networking products,motorola,,15.99,"{'title': 'motorola 53728 flexible ear receiver for the talkabout 2-way radio two-way radios scanners frs gmrs 2-way radio accessories', 'category': 'networking products', 'brand': 'motorola', 'price': 15.99}","['accessories supplies', 'headsets microphones', 'networking products', 'wired headsets', 'bluetooth headsets']","['rca', 'unknown', 'plantronics', 'motorola', 'cisco']"
720,720,hp monsterhigh speed mini usb 700 - 3 ft. usb a to mini-b cable hpm 700 usbm-3 es,usb cables,monster,hpm 700 usbm-3 es,,"{'title': 'hp monsterhigh speed mini usb 700 - 3 ft. usb a to mini-b cable hpm 700 usbm-3 es', 'category': 'usb cables', 'brand': 'monster', 'modelno': 'hpm 700 usbm-3 es'}","['usb cables', 'cables interconnects', 'usb flash drives', 'hubs', 'car audio video']","['hp', 'pny', 'db', 'monster', 'bundle monster']"
723,723,midland xta108 action camera archery bow mount,,,xta108,15.88,"{'title': 'midland xta108 action camera archery bow mount', 'modelno': 'xta108', 'price': 15.88}","['handheld gps', 'binoculars', 'cb radios', 'sports outdoor gps', 'game cameras']","['mohawk', 'midland', 'sharp', 'chief', 'lee']"
744,744,metra 95-5817 double din installation dash kit for select 1995-2008 ford lincoln mercury and mazda vehicles,dash mounting kits,metra,95-5817,11.62,"{'title': 'metra 95-5817 double din installation dash kit for select 1995-2008 ford lincoln mercury and mazda vehicles', 'category': 'dash mounting kits', 'brand': 'metra', 'modelno': '95-5817', 'price': 11.62}","['in-dash navigation', 'car audio video installation', 'dash mounting kits', 'amplifier installation', 'crossover parts']","['parts express', 'jensen', 'scosche', 'oem systems company', 'metra']"
752,752,canon cp1200d 8838a001aa commercial desktop printer,,canon,,64.23,"{'title': 'canon cp1200d 8838a001aa commercial desktop printer', 'brand': 'canon', 'price': 64.23}","['printing', 'printer ink toner', 'laser printers', 'laser all-in-one printers', 'inkjet printers']","['oki data', 'oki', 'canon', 'adobe', 'lexmark']"
755,755,meelectronics rx-11-bk in-ear headphones for ipod iphone mp3 cd dvd players black with red accents,headphones,,rx-11-bk,20.09,"{'title': 'meelectronics rx-11-bk in-ear headphones for ipod iphone mp3 cd dvd players black with red accents', 'category': 'headphones', 'modelno': 'rx-11-bk', 'price': 20.09}","['earpads', 'headphones', 'headsets', 'accessories supplies', 'wired headsets']","['memtek', 'm-audio', 'meelectonics', 'koss', 'memorex']"
773,773,magellan 930-0084-001 suction cup mount,vehicle mounts,magellan,930-0084-001,4.55,"{'title': 'magellan 930-0084-001 suction cup mount', 'category': 'vehicle mounts', 'brand': 'magellan', 'modelno': '930-0084-001', 'price': 4.55}","['geography', 'vehicle mounts', 'handheld gps', 'mounts', 'portable vehicle gps']","['tomtom', 'navigator', 'i.trek', 'magellan', 'creative']"
790,790,logitech ultimate ears 700 noise-isolating earphones - dark silver,headphones,ultimate ears,985-000172,141.99,"{'title': 'logitech ultimate ears 700 noise-isolating earphones - dark silver', 'category': 'headphones', 'brand': 'ultimate ears', 'modelno': '985-000172', 'price': 141.99}","['earpads', 'accessories supplies', 'headsets', 'headphones', 'headsets microphones']","['cables unlimited', 'audio-technica', 'ultimate ears', 'tv ears inc', 'logitech']"
812,812,new-lshape key keyboard usb blk - e03601u2,keyboards,keytronicems,,,"{'title': 'new-lshape key keyboard usb blk - e03601u2', 'category': 'keyboards', 'brand': 'keytronicems'}","['keyboards', 'touch pads', 'keyboard mouse combos', 'keyboard drawers platforms', 'keyboard skins']","['gear head', 'solidtek', 'motion systems', 'keytronicems', 'acp']"
828,828,lexmark pinnacle pro901 all-in-one printer,inkjet all-in-one printers,lexmark,90t9105,143.68,"{'title': 'lexmark pinnacle pro901 all-in-one printer', 'category': 'inkjet all-in-one printers', 'brand': 'lexmark', 'modelno': '90t9105', 'price': 143.68}","['computer accessories', 'laser all-in-one printers', 'print servers', 'inkjet all-in-one printers', 'all-in-one printers']","['sharp', 'lexmark', 'pinnacle systems', 'avid', 'pinnacle']"
829,829,lexmark 31 photo printer cartridge 18c0031,inkjet printer ink,lexmark,18c0031,14.91,"{'title': 'lexmark 31 photo printer cartridge 18c0031', 'category': 'inkjet printer ink', 'brand': 'lexmark', 'modelno': '18c0031', 'price': 14.91}","['laser printer toner', 'printer photoconductors', 'printer ink toner', 'computer accessories', 'inkjet printer ink']","['epson', 'oki data', 'ocinkjet', 'lexmark', 'compatible']"
845,845,level mount elew5-07 universal wire management kit - 5 feet,audio-video kits,easymounts,elew5-07,14.99,"{'title': 'level mount elew5-07 universal wire management kit - 5 feet', 'category': 'audio-video kits', 'brand': 'easymounts', 'modelno': 'elew5-07', 'price': 14.99}","['car audio video installation', 'wire management', 'speaker mounts', 'tv mounts', 'audio-video kits']","['level mount', 'omnimount', 'eco-mount by avf', 'arrowmounts', 'easymounts']"
848,848,lenovo 3000 n200 14.1 wide series li-on 6-cell 10.8 v 4400 mah 48 wh compatible part numbers ibm 42t5237 42t4515 41u5025 41u5026 42t4516 42t5236 premium replacement battery,batteries,avant products,,,"{'title': 'lenovo 3000 n200 14.1 wide series li-on 6-cell 10.8 v 4400 mah 48 wh compatible part numbers ibm 42t5237 42t4515 41u5025 41u5026 42t4516 42t5236 premium replacement battery', 'category': 'batteries', 'brand': 'avant products'}","['electronics', 'coin button cell', 'cleaning repair', 'batteries', 'wall chargers']","['mushkin', 'ibm', 'avant products', 'lenovo', 'atp']"
860,860,koss headphone carrying case for ksc75 ksc9 ksc7 ksc17 p14 and p16,cases,koss,koss case c,11.56,"{'title': 'koss headphone carrying case for ksc75 ksc9 ksc7 ksc17 p14 and p16', 'category': 'cases', 'brand': 'koss', 'modelno': 'koss case c', 'price': 11.56}","['portable audio video', 'housings', 'mp3 player accessories', 'laptop netbook computer accessories', 'cases']","['boost cases', 'case logic', 'luxmo', 'koss', 'case']"
879,879,kingston valueram 2gb kit 2x1gb modules 400mhz pc3200 ddr desktop memory kvr400ak2 2gr,memory,kingston,kvr400ak2/2gr,83.95,"{'title': 'kingston valueram 2gb kit 2x1gb modules 400mhz pc3200 ddr desktop memory kvr400ak2 2gr', 'category': 'memory', 'brand': 'kingston', 'modelno': 'kvr400ak2/2gr', 'price': 83.95}","['memory', 'memory cards', 'computer accessories', 'computer components', 'computers accessories']","['maxram', 'kingston', 'crucial', 'mushkin', 'memory upgrades']"
880,880,kingston technology hyper x 8gb 1600mhz ddr3 non-ecc cl9 dimm kit of 2 xmp x2 grey series khx1600c9d3x2k2 8gx,,kingston,khx1600c9d3x2k2/8gx,68.43,"{'title': 'kingston technology hyper x 8gb 1600mhz ddr3 non-ecc cl9 dimm kit of 2 xmp x2 grey series khx1600c9d3x2k2 8gx', 'brand': 'kingston', 'modelno': 'khx1600c9d3x2k2/8gx', 'price': 68.43}","['cpu processors', 'computer components', 'memory cards', 'computers accessories', 'memory']","['crucial', 'computer memory solutions', 'mushkin', 'kingston', 'memory upgrades']"
895,895,kingston digital inc. 4gb datatraveler 100 generation2 2.0 usb dt100g2 4gbz - black,,kingston,dt100g2/4gbz,6.99,"{'title': 'kingston digital inc. 4gb datatraveler 100 generation2 2.0 usb dt100g2 4gbz - black', 'brand': 'kingston', 'modelno': 'dt100g2/4gbz', 'price': 6.99}","['usb cables', 'usb flash drives', 'memory cards', 'external hard drives', 'external data storage']","['memory upgrades', 'a-data', 'maxram', 'kingston', 'imation']"
903,903,kensington slimblade presenter mouse wireless mouse and presenter in one ice blue k72283us,mice,kensington,k72283us,29.79,"{'title': 'kensington slimblade presenter mouse wireless mouse and presenter in one ice blue k72283us', 'category': 'mice', 'brand': 'kensington', 'modelno': 'k72283us', 'price': 29.79}","['presentation remotes', 'connectors adapters', 'bags cases', 'mice', 'cubicle hooks']","['stanley', 'fellowes', 'laplink', 'kensington', 'adesso']"
905,905,kensington monitor stand small with smartfit system k60087,monitor arms stands,kensington,k60087,21.99,"{'title': 'kensington monitor stand small with smartfit system k60087', 'category': 'monitor arms stands', 'brand': 'kensington', 'modelno': 'k60087', 'price': 21.99}","['speaker stands', 'monitors', 'monitor accessories', 'television stands entertainment centers', 'monitor arms stands']","['micro innovations', 'acco', 'fellowes', 'kensington', 'handstands']"
920,920,jvc kw-nt3hdt mobile entertainment navigation multimedia receiver,dvd players,jvc,kw-nt3hdt,679.98,"{'title': 'jvc kw-nt3hdt mobile entertainment navigation multimedia receiver', 'category': 'dvd players', 'brand': 'jvc', 'modelno': 'kw-nt3hdt', 'price': 679.98}","['digital media receivers', 'component receivers', 'dvd players', 'car stereos', 'cd players']","['rca', 'audiovox', 'alco electronics', 'rokinon', 'jvc']"
