,ltable_id,rtable_id,label,l_entity,r_entity
10,741,2100,0,"{'title': 'illustrator cs3 13 mac ed 1u', 'manufacturer': 'adobe-education-box', 'price': 199.0, 'category': 'Software', 'subcategory': 'Design & Illustration', 'platform': 'Mac', 'edition': 'Education', 'type': 'Upgrade', 'modelno': '13'}","{'title': 'encore software 10634 3d home architect home v. 8 by', 'manufacturer': '', 'price': 33.97, 'category': '3D Modeling', 'subcategory': 'Home Design', 'platform': 'Windows', 'edition': '', 'type': 'Software', 'modelno': 'Version 8'}"
11,216,2232,0,"{'title': 'adobe illustrator cs3 upgrade from freehand [ mac ]', 'manufacturer': 'adobe', 'price': 199.0, 'category': 'Software', 'subcategory': 'Design & Photo Editing', 'platform': 'Mac', 'edition': 'Upgrade', 'type': 'Illustrator', 'modelno': 'CS3'}","{'title': 'individual software prm-xw3 professor teaches excel & word', 'manufacturer': 'individual software', 'price': 24.99, 'category': '', 'subcategory': 'Office Software', 'platform': 'Windows', 'edition': 'Professional', 'type': 'Educational Software', 'modelno': 'PRM-XW3'}"
12,892,369,0,"{'title': 'adobe premiere pro cs3', 'manufacturer': 'adobe', 'price': 799.0, 'category': 'Software', 'subcategory': 'Video Editing', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Full Version', 'modelno': 'Adobe Premiere Pro CS3'}","{'title': 'adobe cs3 design premium upsell', 'manufacturer': '', 'price': 1639.99, 'category': 'Software', 'subcategory': 'Design & Publishing', 'platform': 'Mac', 'edition': 'Design Premium', 'type': 'Upsell', 'modelno': 'CS3'}"
13,282,621,0,"{'title': 'elementary success deluxe 2006 ( dw dvd )', 'manufacturer': 'topics entertainment', 'price': 49.99, 'category': 'Education', 'subcategory': 'Language Learning', 'platform': 'DVD', 'edition': 'Deluxe Edition', 'type': 'Software', 'modelno': 'EL06DVD'}","{'title': 'topics entertainment instant immersion italian deluxe 2.0 ( mass merchant box )', 'manufacturer': '', 'price': 31.06, 'category': 'Language Learning', 'subcategory': 'Italian', 'platform': 'Desktop', 'edition': 'Deluxe', 'type': 'Software', 'modelno': 'IMI-ITA2-DELUXE-MASS'}"
14,588,921,0,"{'title': 'adobe creative suite cs3 design standard [ mac ]', 'manufacturer': 'adobe', 'price': 1199.0, 'category': 'Software', 'subcategory': 'Design & Illustration', 'platform': 'Mac', 'edition': 'Design Standard', 'type': 'Suite', 'modelno': 'CS3'}","{'title': 'adobe cs3 production premium', 'manufacturer': '', 'price': 1749.99, 'category': 'Video Editing', 'subcategory': 'Video Production Suites', 'platform': 'Windows', 'edition': 'Premium', 'type': 'Software', 'modelno': 'CS3PP'}"
15,348,989,0,"{'title': 'microsoft office & windows training', 'manufacturer': 'topics entertainment', 'price': 29.99, 'category': 'Software', 'subcategory': 'Training', 'platform': 'Windows', 'edition': 'Standard', 'type': 'DVD', 'modelno': 'T12345'}","{'title': 'broderbund mavis beacon teaches typing standard17', 'manufacturer': '', 'price': 22.99, 'category': 'Education', 'subcategory': 'Typing Software', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Software', 'modelno': 'MBTB17S'}"
16,1014,2339,0,"{'title': 'elementary advantage 2008', 'manufacturer': 'encore', 'price': 39.99, 'category': 'Elementary', 'subcategory': 'Advantage', 'platform': '2008', 'edition': 'Elementary', 'type': 'Book', 'modelno': '2008-Elementary-Book'}","{'title': 'encore software 10478 encore printmaster v. 17.0 gold complete product creativity application 1 user ( s ) complete product standard pc', 'manufacturer': '', 'price': 17.97, 'category': 'Computers & Accessories', 'subcategory': 'Computer Software', 'platform': 'Windows', 'edition': 'Gold', 'type': 'Software', 'modelno': '17.0'}"
17,570,2232,0,"{'title': 'professor teaches windows xp', 'manufacturer': 'individual software', 'price': 19.99, 'category': 'Computer & Technology', 'subcategory': 'Operating Systems', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Book', 'modelno': 'BSK-101'}","{'title': 'individual software prm-xw3 professor teaches excel & word', 'manufacturer': 'individual software', 'price': 24.99, 'category': 'Software', 'subcategory': 'Productivity', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Digital Download', 'modelno': 'XW3'}"
18,455,1637,0,"{'title': 'brainfood games cranium collection 2006', 'manufacturer': 'encore software', 'price': 19.99, 'category': 'Educational', 'subcategory': 'Puzzle', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Single Player', 'modelno': 'CRNM-2006'}","{'title': ""eagle games egl 150 tournament poker no limit texas hold 'em"", 'manufacturer': 'eagle games', 'price': 7.95, 'category': 'Poker', 'subcategory': ""Texas Hold'em"", 'platform': 'PC', 'edition': 'Deluxe', 'type': 'Simulation', 'modelno': 'EG150'}"
19,961,744,0,"{'title': 'vegas movie studiodvd +8 plat', 'manufacturer': 'sony media', 'price': 129.95, 'category': '', 'subcategory': 'DVD', 'platform': 'Windows', 'edition': 'Platinum', 'type': 'Video Editing Software', 'modelno': 'VEGAS DVD Platinum 8'}","{'title': 'prw photo explosion deluxe v. 3.0 complete package 1 user cd win', 'manufacturer': '', 'price': 47.6, 'category': 'Photo & Image Editing', 'subcategory': 'Photo Editing Software', 'platform': 'Windows', 'edition': 'Deluxe', 'type': 'Software', 'modelno': 'PE30-WIN-DLX'}"
20,1018,2835,0,"{'title': 'wheel of fortune deluxe', 'manufacturer': 'encore', 'price': 19.99, 'category': 'Games', 'subcategory': 'Game Shows', 'platform': 'PlayStation 5', 'edition': 'Standard', 'type': 'Digital', 'modelno': 'WOF-DLC-PS5'}","{'title': 'elementary advantage 2008 encore', 'manufacturer': '', 'price': 39.95, 'category': 'Education', 'subcategory': 'Software', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Product', 'modelno': 'EE2008'}"
21,798,3156,0,"{'title': 'hoyle solitaire ( jewel case )', 'manufacturer': 'encore', 'price': 9.99, 'category': 'Games', 'subcategory': 'Card Games', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Software', 'modelno': '33024'}","{'title': 'wheel of fortune ( r )', 'manufacturer': '', 'price': 19.99, 'category': 'Games', 'subcategory': 'Board Games', 'platform': 'PC', 'edition': 'Standard', 'type': 'Video Game', 'modelno': 'WOF-R'}"
22,753,2566,0,"{'title': 'microsoft office & windows training professional', 'manufacturer': 'topics entertainment', 'price': 49.95, 'category': 'Software', 'subcategory': 'Business & Productivity', 'platform': 'Windows', 'edition': 'Professional', 'type': 'Training', 'modelno': 'TKT101'}","{'title': 'encore software 10569 hoyle puzzle games 2007 win 98 me 2000 xp', 'manufacturer': '', 'price': 18.97, 'category': 'Puzzle', 'subcategory': 'Board Games', 'platform': 'Windows', 'edition': '2007', 'type': 'Game Software', 'modelno': '10569'}"
23,1108,964,1,"{'title': '3d bridge deluxe ( mac )', 'manufacturer': 'freeverse software', 'price': 24.99, 'category': 'Games', 'subcategory': 'Card & Board', 'platform': 'Mac', 'edition': 'Deluxe', 'type': 'Software', 'modelno': 'FV003'}","{'title': 'freeverse 3d bridge deluxe', 'manufacturer': '', 'price': 24.99, 'category': 'Games', 'subcategory': 'Card & Board', 'platform': 'Mac', 'edition': 'Deluxe', 'type': 'Software', 'modelno': 'FV003'}"
24,525,444,0,"{'title': 'corel painter x win/mac', 'manufacturer': 'corel', 'price': 429.0, 'category': 'Graphics & Design Software', 'subcategory': 'Digital Painting & Illustration', 'platform': 'Windows & macOS', 'edition': 'Standard', 'type': 'Software', 'modelno': 'Painter X'}","{'title': 'adobe photoshop cs3 extended for mac academic', 'manufacturer': '', 'price': 295.99, 'category': 'Software', 'subcategory': 'Design & Photo', 'platform': 'Mac', 'edition': 'Academic', 'type': 'Desktop Application', 'modelno': 'CS3 Extended'}"
25,1177,2255,0,"{'title': 'microsoft office student and teacher edition 2004 macintosh', 'manufacturer': 'microsoft', 'price': 149.99, 'category': 'Productivity Software', 'subcategory': 'Office Suites', 'platform': 'Macintosh', 'edition': 'Student and Teacher Edition', 'type': 'Boxed Software', 'modelno': 'Office 2004'}","{'title': 'apple mac os x server tiger unlimited apple & mac software', 'manufacturer': '', 'price': 998.95, 'category': 'Operating Systems', 'subcategory': 'Mac OS', 'platform': 'Mac', 'edition': 'Server', 'type': 'OEM', 'modelno': 'Unlimited'}"
26,1287,521,0,"{'title': 'punch ! 5 in 1 home design', 'manufacturer': 'punch ! software', 'price': 39.99, 'category': 'Home Design', 'subcategory': 'Software', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Desktop', 'modelno': 'Punch-5in1-HD'}","{'title': 'adobe cs3 design premium', 'manufacturer': '', 'price': 1865.99, 'category': 'Software', 'subcategory': 'Graphic Design', 'platform': 'Mac', 'edition': 'Premium', 'type': 'Suite', 'modelno': '2007'}"
27,1251,740,0,"{'title': 'adobe acrobat standard 8.0', 'manufacturer': 'adobe', 'price': 449.99, 'category': 'software', 'subcategory': 'document-management', 'platform': 'windows', 'edition': 'standard', 'type': 'desktop', 'modelno': '8.0'}","{'title': 'usoa289 iris readiris pro v. 11 complete package 1 user win', 'manufacturer': '', 'price': 110.07, 'category': 'Biometrics', 'subcategory': 'Iris Recognition', 'platform': 'Windows', 'edition': 'Pro', 'type': 'Software', 'modelno': 'Version 11'}"
28,799,2592,1,"{'title': 'hp dss software v. 4.0 complete package t1936aa ua0 )', 'manufacturer': 'hewlett-packard - ( consumables )', 'price': 630.36, 'category': 'Software', 'subcategory': 'Document Management', 'platform': 'HP', 'edition': '4.0', 'type': 'Digital Sending Software', 'modelno': 'T1936AA UA0'}","{'title': 'hp t1936aa uao digital sending software 4.0 ( 10 device license )', 'manufacturer': 'hp', 'price': 369.99, 'category': 'Software', 'subcategory': 'DSS Software', 'platform': 'HP', 'edition': '4.0', 'type': '10 Device License', 'modelno': 't1936aa uao)'}"
29,597,369,1,"{'title': 'adobe creative suite cs3 design premium [ mac ]', 'manufacturer': 'adobe', 'price': 1799.0, 'category': 'Software', 'subcategory': 'Design & Illustration', 'platform': 'Mac', 'edition': 'Premium', 'type': 'Suite', 'modelno': 'CS3'}","{'title': 'adobe cs3 design premium upsell', 'manufacturer': '', 'price': 1639.99, 'category': 'Software', 'subcategory': 'Design & Publishing', 'platform': 'Mac OS', 'edition': 'Upsell', 'type': 'Suite', 'modelno': '2007'}"
30,1251,533,1,"{'title': 'adobe acrobat standard 8.0', 'manufacturer': 'adobe', 'price': 449.99, 'category': 'software', 'subcategory': 'productivity', 'platform': 'windows', 'edition': 'standard', 'type': 'desktop', 'modelno': '8.0'}","{'title': 'adobe acrobat v8 .0 professional for mac', 'manufacturer': '', 'price': 405.99, 'category': 'Productivity', 'subcategory': 'Mac Software', 'platform': 'Mac', 'edition': 'Professional', 'type': 'Desktop App', 'modelno': 'Adobe Acrobat 8.0 Professional'}"
31,1014,2835,1,"{'title': 'elementary advantage 2008', 'manufacturer': 'encore', 'price': 39.99, 'category': 'Education', 'subcategory': 'Language Learning', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Software', 'modelno': '2008'}","{'title': 'elementary advantage 2008 encore', 'manufacturer': '', 'price': 39.95, 'category': 'Education', 'subcategory': 'Language Learning', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Software', 'modelno': '2008'}"
32,907,2560,1,"{'title': 'hoyle card games ( jewel case )', 'manufacturer': 'encore software', 'price': 9.99, 'category': 'Games', 'subcategory': 'Card Games', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Software', 'modelno': 'HS1218200'}","{'title': 'encore software 10025 hoyle card games ( win 98 me 2000 xp )', 'manufacturer': '', 'price': 7.47, 'category': 'Games', 'subcategory': 'Card Games', 'platform': 'Windows', 'edition': 'Unknown', 'type': 'Software', 'modelno': '10025'}"
33,888,1585,0,"{'title': 'microsoft oem 3pk xp home edition sp2 n09-01624 )', 'manufacturer': 'microsoft corporation', 'price': '', 'category': 'Operating Systems', 'subcategory': 'Windows XP', 'platform': 'Windows', 'edition': 'Home Edition SP2', 'type': 'OEM', 'modelno': 'N09-01624'}","{'title': 'microsoft office and windows training ( win 98 me nt 2000 xp )', 'manufacturer': '', 'price': 29.95, 'category': 'E-Learning', 'subcategory': 'Software Training', 'platform': 'Windows', 'edition': 'Basic', 'type': 'Training Course', 'modelno': ''}"
34,556,2840,0,"{'title': 'instant immersion italian deluxe 2.0', 'manufacturer': 'topics entertainment', 'price': 49.99, 'category': 'Language Learning', 'subcategory': 'Italian', 'platform': 'Software', 'edition': 'Deluxe', 'type': 'Language Learning Software', 'modelno': '2.0'}","{'title': 'photo explosion deluxe 3.0 nova', 'manufacturer': '', 'price': 49.99, 'category': 'Photography', 'subcategory': 'Photo Editing', 'platform': 'Windows', 'edition': 'Deluxe', 'type': 'Software', 'modelno': 'PED30'}"
35,1186,485,0,"{'title': 'adobe creative suite cs3 web standard [ mac ]', 'manufacturer': 'adobe', 'price': 999.0, 'category': 'Software', 'subcategory': 'Design & Publishing', 'platform': 'Mac', 'edition': 'Web Standard', 'type': 'Suite', 'modelno': 'CS3'}","{'title': 'adobe illustrator cs3 upgrade from freehand for mac', 'manufacturer': '', 'price': 206.99, 'category': 'Software', 'subcategory': 'Design & Graphics', 'platform': 'Mac', 'edition': 'Upgrade', 'type': 'Application', 'modelno': 'CS3'}"
36,504,1368,0,"{'title': 'adobe audition 2.0 upgrade', 'manufacturer': 'adobe', 'price': 129.0, 'category': 'Audio Editing', 'subcategory': 'Upgrades', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Software', 'modelno': 'AA20UPG'}","{'title': 'steinberg cubase studio 4 software music production software', 'manufacturer': '', 'price': 399.99, 'category': 'Music Production', 'subcategory': 'DAWs', 'platform': 'PC & Mac', 'edition': 'Studio', 'type': 'Software', 'modelno': 'Cubase Studio 4'}"
37,230,276,0,"{'title': 'ca arcserve bkup r11 .5 win svrless bkup opt sp1 - prod only', 'manufacturer': 'computer associates', 'price': '', 'category': 'Backup and Recovery Software', 'subcategory': 'Arcserve', 'platform': 'Windows', 'edition': 'Arcserve Backup Protection Suite', 'type': 'Software', 'modelno': 'Arcserve Backup Protection Suite R11.5'}","{'title': 'delorme mapping topo usa 6.0 west region', 'manufacturer': '', 'price': 43.36, 'category': 'Software', 'subcategory': 'Mapping', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Topographic', 'modelno': '6.0'}"
38,557,1678,0,"{'title': 'adobe creative suite cs3 production premium', 'manufacturer': 'adobe', 'price': 1699.0, 'category': 'Software', 'subcategory': 'Design & Video Editing', 'platform': 'Windows', 'edition': 'Academic', 'type': 'Suite', 'modelno': 'CS3'}","{'title': 'adobe creative suite ( v3 .0 ) design premium mac adobe 19500009', 'manufacturer': '', 'price': 1482.0, 'category': 'Software', 'subcategory': 'Design & Publishing', 'platform': 'Mac', 'edition': 'Design Premium', 'type': 'Adobe', 'modelno': '19500009'}"
39,851,1427,0,"{'title': 'punch ! professional home design platinum v10', 'manufacturer': 'punch ! software', 'price': 99.0, 'category': 'Home Design', 'subcategory': 'Platinum', 'platform': 'Windows', 'edition': 'Professional', 'type': 'Software', 'modelno': 'v10'}","{'title': 'punch software 85100 punch!master landscape pro v10 and home design', 'manufacturer': '', 'price': 59.97, 'category': 'Software', 'subcategory': 'Landscape Design', 'platform': 'Windows', 'edition': 'Pro', 'type': 'Design', 'modelno': 'Punch-456'}"
40,1130,2163,0,"{'title': 'adobe cs3 design premium macosx dvd', 'manufacturer': 'adobe', 'price': 599.0, 'category': 'Software', 'subcategory': 'Design & Multimedia', 'platform': 'MacOSX', 'edition': 'Premium', 'type': 'Upgrade', 'modelno': 'CS3'}","{'title': 'acid music studio 6', 'manufacturer': 'sony-pictures-digital-entertainment', 'price': 59.95, 'category': 'DAW', 'subcategory': 'Music Production', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Software', 'modelno': '6.0'}"
41,1004,1032,0,"{'title': 'professor teaches excel & word', 'manufacturer': 'individual software', 'price': 19.99, 'category': 'Software', 'subcategory': 'Productivity', 'platform': 'Windows', 'edition': 'Standard', 'type': 'E-Learning Course', 'modelno': 'ELC-001'}","{'title': 'punch software 38100 punch ! super home suite complete product architectural 1 user complete productcomplete productstandard english pc', 'manufacturer': '', 'price': 45.97, 'category': 'Architecture', 'subcategory': 'Design Software', 'platform': 'Windows', 'edition': 'Complete Product', 'type': 'Desktop', 'modelno': '38100'}"
42,376,2638,1,"{'title': 'printmaster gold v 17.0', 'manufacturer': 'nova development', 'price': 19.95, 'category': 'Graphics & Design Software', 'subcategory': 'Desktop Publishing', 'platform': 'Windows', 'edition': 'Full Version', 'type': 'Software', 'modelno': '17.0'}","{'title': 'printmaster gold v 17.0 ( win 98 me 2000 xp )', 'manufacturer': '', 'price': 19.95, 'category': 'Graphics & Design Software', 'subcategory': 'Desktop Publishing', 'platform': 'Windows', 'edition': 'Gold', 'type': 'Software', 'modelno': '17'}"
43,1004,2153,0,"{'title': 'professor teaches excel & word', 'manufacturer': 'individual software', 'price': 19.99, 'category': 'Software', 'subcategory': 'Office Suites', 'platform': 'Windows', 'edition': 'Standard', 'type': 'E-Learning Course', 'modelno': 'PTX-001'}","{'title': 'mavis beacon teaches typing v17 deluxe pc/mac', 'manufacturer': '', 'price': 29.9, 'category': 'Education', 'subcategory': 'Typing & Keyboarding', 'platform': 'PC & Mac', 'edition': 'Deluxe', 'type': 'Software', 'modelno': 'MBT17D'}"
44,779,2936,0,"{'title': '3d home architect landscape v. 8 by encore software', 'manufacturer': 'encore software', 'price': 39.99, 'category': '3D Modeling', 'subcategory': 'Landscape Design', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Software', 'modelno': '8.0'}","{'title': 'punch software 17100 punch ! super home suite', 'manufacturer': 'punch software', 'price': 45.99, 'category': 'Home & Lifestyle', 'subcategory': 'Home Design', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Software', 'modelno': '17100'}"
45,548,2302,1,"{'title': 'quickbooks pro 2007 small business financial software', 'manufacturer': 'intuit', 'price': 199.95, 'category': 'Financial Software', 'subcategory': 'Accounting Software', 'platform': 'Windows', 'edition': 'Pro', 'type': 'Accounting', 'modelno': '2007'}","{'title': 'intuit quickbooks pro 2007 software for windows tax & finance software', 'manufacturer': '', 'price': 179.95, 'category': 'Finance Software', 'subcategory': 'Accounting Software', 'platform': 'Windows', 'edition': 'Pro', 'type': 'Software', 'modelno': '2007'}"
46,574,2055,0,"{'title': 'microsoft mappoint 2006 with gps', 'manufacturer': 'microsoft', 'price': 349.0, 'category': 'Software', 'subcategory': 'Mapping and Navigation', 'platform': 'Windows', 'edition': '2006', 'type': 'GPS', 'modelno': '2006'}","{'title': 'encore software 10076 mavis beacon typing 17 standardby broderbund', 'manufacturer': '', 'price': 17.97, 'category': 'Education', 'subcategory': 'Typing & Keyboarding', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Software', 'modelno': '17'}"
47,808,3161,0,"{'title': '3d home architect landscape designer v8', 'manufacturer': 'encore software', 'price': 29.99, 'category': 'Home & Garden', 'subcategory': 'Landscaping', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Software', 'modelno': 'V8'}","{'title': 'adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac', 'manufacturer': '', 'price': 859.96, 'category': 'Software', 'subcategory': 'Graphic Design', 'platform': 'Mac', 'edition': 'Standard Upgrade', 'type': 'Upsell', 'modelno': 'CS3'}"
48,1170,2398,0,"{'title': 'steinberg cubase 4 digital audio software', 'manufacturer': 'steinberg', 'price': 999.99, 'category': 'Audio Production', 'subcategory': 'DAWs', 'platform': 'Windows', 'edition': 'Full Version', 'type': 'Software', 'modelno': 'Cubase 4'}","{'title': 'onone software inc. mpr-40212', 'manufacturer': 'onone software inc.', 'price': 66.27, 'category': 'Design & Illustration Software', 'subcategory': 'Photo & Graphic Editing', 'platform': 'Windows & macOS', 'edition': 'Standard', 'type': 'Desktop Software', 'modelno': 'mpr-40212'}"
49,457,2970,0,"{'title': 'national geographic presents : redshift 5 planetarium software', 'manufacturer': 'topics entertainment', 'price': 39.99, 'category': 'Education', 'subcategory': 'Software', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Simulation', 'modelno': 'RS5-WIN-STD'}","{'title': 'rainbow fish and the whale', 'manufacturer': '', 'price': 6.95, 'category': ""Children's Books"", 'subcategory': 'Picture Books', 'platform': 'Mobile App', 'edition': 'Paperback', 'type': 'Fiction', 'modelno': 'ISBN-13: 978-0735818996'}"
50,372,1768,0,"{'title': 'readiris pro 11 corporate edition', 'manufacturer': 'iris inc.', 'price': 399.99, 'category': 'OCR Software', 'subcategory': 'Business', 'platform': 'Windows', 'edition': 'Corporate Edition', 'type': 'Software', 'modelno': '11.0'}","{'title': 'microsoft 394-00416 opens exch svr exconn l/sa qual', 'manufacturer': '', 'price': 22575.14, 'category': 'Software', 'subcategory': 'Collaboration & Communication', 'platform': 'Windows', 'edition': 'Server', 'type': 'Extended Connection License', 'modelno': '394-00416'}"
51,1080,1690,0,"{'title': 'adventure workshop 4th-6th grade 7th edition', 'manufacturer': 'encore software', 'price': 19.99, 'category': 'Education', 'subcategory': 'Learning & Skills', 'platform': 'Windows', 'edition': '7th Edition', 'type': 'Software', 'modelno': 'AW7'}","{'title': 'hoyle solitaire', 'manufacturer': '', 'price': 9.99, 'category': 'Games', 'subcategory': 'Card Games', 'platform': 'PC', 'edition': 'Standard', 'type': 'Digital Game', 'modelno': ''}"
52,409,168,0,"{'title': 'pdf converter 4', 'manufacturer': 'nuance', 'price': 49.95, 'category': 'Software', 'subcategory': 'PDF Converters', 'platform': 'Windows', 'edition': 'Standard', 'type': 'Desktop Software', 'modelno': 'PDFC4-WIN-STD'}","{'title': 'adobe acrobat v8 .0 professional for mac upsell from std-pro', 'manufacturer': '', 'price': 145.99, 'category': 'Software', 'subcategory': 'Productivity', 'platform': 'Mac', 'edition': 'Upsell', 'type': 'Digital', 'modelno': 'V8.0'}"
53,1228,2597,0,"{'title': 'learn to play chess with fritz and chesster ( mac )', 'manufacturer': 'viva media', 'price': 29.99, 'category': 'Education', 'subcategory': 'Chess', 'platform': 'Mac', 'edition': 'Standard', 'type': 'Software', 'modelno': 'FTC001'}","{'title': 'east west propack for garageband av production software', 'manufacturer': '', 'price': 152.96, 'category': 'Music Production', 'subcategory': 'Virtual Instruments', 'platform': 'MacOS', 'edition': 'Pro', 'type': 'Software', 'modelno': 'EW-PRO-MAC'}"
