,id,title,category,brand,modelno,price,query,category_predict,brand_predict
715,739,read right pathkleen printer roller cleaner sheets 8 1 2 10pk,printers,read right,rr1237,9.84,"{'title': 'read right pathkleen printer roller cleaner sheets 8 1 2 10pk', 'category': 'printers', 'brand': 'read right', 'modelno': 'rr1237', 'price': 9.84}","['stationery & office machinery', 'computers', 'printers', 'electronics - general', 'networking']","['pny', 'eveready', 'read right', 'generic', 'hp']"
1616,1727,hp touchpad - touchstone charging dock stand,electronics - general,hp,,35.0,"{'title': 'hp touchpad - touchstone charging dock stand', 'category': 'electronics - general', 'brand': 'hp', 'price': 35.0}","['mice', 'printers', 'computers', 'electronics - general', 'desktop computers']","['fujitsu', 'pny', 'penpower', 'ibm', 'hp']"
1256,1312,philips usa 2 silicone cases for iphone 4 black white,electronics - general,philips,dlm4313/17,16.88,"{'title': 'philips usa 2 silicone cases for iphone 4 black white', 'category': 'electronics - general', 'brand': 'philips', 'modelno': 'dlm4313/17', 'price': 16.88}","['mp3 accessories', 'mp3', 'electronics - general', 'photography - general', 'portable audio']","['case logic', 'philips', 'genuine phillips', 'apple', 'tribeca']"
1942,2072,pioneer 6.5 4-way speakers 350w,car stereos,pioneer,ts-a1684r,113.0,"{'title': 'pioneer 6.5 4-way speakers 350w', 'category': 'car stereos', 'brand': 'pioneer', 'modelno': 'ts-a1684r', 'price': 113.0}","['car stereos', 'automotive - general', 'walkie-talkie/frs', 'gps', 'satellite radio']","['clarion', 'bracketron', 'pioneer', 'amp energy', 'kenwood']"
996,1034,ergotron 31-017-182 wall track - aluminum,electronics - general,ergotron,31-017-182,59.84,"{'title': 'ergotron 31-017-182 wall track - aluminum', 'category': 'electronics - general', 'brand': 'ergotron', 'modelno': '31-017-182', 'price': 59.84}","['portable audio', 'mice', 'computers', 'electronics - general', 'networking']","['endust', 'ergotron', 'bracketron', 'energizer', 'razer']"
1708,1832,arkon sgt-7ss sun shade for samsung galaxy tab,car stereos,arkon,sgt-7ss,16.88,"{'title': 'arkon sgt-7ss sun shade for samsung galaxy tab', 'category': 'car stereos', 'brand': 'arkon', 'modelno': 'sgt-7ss', 'price': 16.88}","['car stereos', 'mp3 accessories', 'mp3', 'dvd players', 'portable audio']","['kroo', 'sakar', 'bracketron', 'arkon', 'griffin']"
1933,2063,gear head mp2300blk 3 button wireless optical wheel mouse - black silver,mice,gear head,mp2300blk,13.82,"{'title': 'gear head mp2300blk 3 button wireless optical wheel mouse - black silver', 'category': 'mice', 'brand': 'gear head', 'modelno': 'mp2300blk', 'price': 13.82}","['hand tools', 'computers', 'hard drives', 'software', 'mice']","['wireless gear', 'razer', 'gear head', 'microsoft', 'human toolz']"
579,595,hoffco 06-ce-mak1 mobile accessory kit,,amp energy,06-ce-mak1,38.88,"{'title': 'hoffco 06-ce-mak1 mobile accessory kit', 'brand': 'amp energy', 'modelno': '06-ce-mak1', 'price': 38.88}","['mp3 accessories', 'portable audio', 'dvd accessories', 'accessories apparel', 'car stereos']","['sennheiser', 'amped wireless', 'amp energy', 'dj tech', 'audiosource']"
2239,2370,luxor workstation with one adjustable pull-out shelf,electronics - general,luxor,lemss-b,249.99,"{'title': 'luxor workstation with one adjustable pull-out shelf', 'category': 'electronics - general', 'brand': 'luxor', 'modelno': 'lemss-b', 'price': 249.99}","['hard drives', 'computers', 'desktop computers', 'electronics - general', 'monitors']","['archos', 'quantum', 'luxor', 'ibm', 'limited luxury']"
1647,1760,tops docket gold spiral steno book gregg rule 6 white 100 sheets,stationery & office machinery,tops business forms,99708,5.77,"{'title': 'tops docket gold spiral steno book gregg rule 6 white 100 sheets', 'category': 'stationery & office machinery', 'brand': 'tops business forms', 'modelno': '99708', 'price': 5.77}","['stationery & office machinery', 'computers', 'storage', 'monitors', 'television']","['post-it', 'tops business forms', 'pc pitstop', 'avery', 'generic']"
1838,1968,chief manufacturing fusion large tilt wall mount 37 - 63 screens,furniture,chief manufacturing,,159.2,"{'title': 'chief manufacturing fusion large tilt wall mount 37 - 63 screens', 'category': 'furniture', 'brand': 'chief manufacturing', 'price': 159.2}","['accessories apparel', 'soi items - grocery hba pets', 'stationery & office machinery', 'hand tools', 'furniture']","['avery personal creations', 'chief manufacturing', 'general electric', 'boss', 'redi-tag corporation']"
1101,1145,kodak easyshare m531 red 14mp digital camera w 3x optical zoom 2.7 lcd display w 50 bonus prints,,kodak,m531 red,89.0,"{'title': 'kodak easyshare m531 red 14mp digital camera w 3x optical zoom 2.7 lcd display w 50 bonus prints', 'brand': 'kodak', 'modelno': 'm531 red', 'price': 89.0}","['digital cameras', 'camcorders', 'film cameras', 'photography - general', 'stationery & office machinery']","['polaroid', 'canon', 'kodak', 'casio', 'nikon']"
230,232,iluv 3mp premium sliding door usb webcam,electronics - general,,icm20blk,52.82,"{'title': 'iluv 3mp premium sliding door usb webcam', 'category': 'electronics - general', 'modelno': 'icm20blk', 'price': 52.82}","['dvd players', 'monitors', 'electronics - general', 'mice', 'computers']","['tribeca', 'iluv', 'ilive', 'jwin', 'zalman usa inc']"
439,452,quartet rewritables dry erase mini-markers fine point 6 assorted colors,stationery & office machinery,quartet,5.1659312 e7,4.54,"{'title': 'quartet rewritables dry erase mini-markers fine point 6 assorted colors', 'category': 'stationery & office machinery', 'brand': 'quartet', 'modelno': '5.1659312 e7', 'price': 4.54}","['software', 'mp3 accessories', 'portable audio', 'mp3', 'stationery & office machinery']","['simplism', 'quartet', 'pentel', 'generic', 'encore']"
2229,2360,wilson jones visitor register book red hardcover 112 pages,stationery & office machinery,wilson jones,s490,41.94,"{'title': 'wilson jones visitor register book red hardcover 112 pages', 'category': 'stationery & office machinery', 'brand': 'wilson jones', 'modelno': 's490', 'price': 41.94}","['printers', 'portable audio', 'stationery & office machinery', 'computers', 'furniture']","['sharpie', 'post-it', 'wilson jones', 'generic', 'microsoft']"
55,56,edge tech proshot 4gb sdhc class 6 memory card,,edge tech,pe209780,10.88,"{'title': 'edge tech proshot 4gb sdhc class 6 memory card', 'brand': 'edge tech', 'modelno': 'pe209780', 'price': 10.88}","['usb drives', 'digital cameras', 'hard drives', 'camera and camcorder accessories', 'mp3 accessories']","['ep memory', 'edge tech', 'sandisk', 'kodak', 'polaroid']"
2216,2347,pelican storm shipping case with foam 13.1 x 23.7 x 24.9,electronics - general,pelican storm,im2875wf,288.99,"{'title': 'pelican storm shipping case with foam 13.1 x 23.7 x 24.9', 'category': 'electronics - general', 'brand': 'pelican storm', 'modelno': 'im2875wf', 'price': 288.99}","['storage', 'photography - general', 'electronics - general', 'automotive - general', 'handbags']","['corsair', 'pelican storm', 'sentry', 'gator cases', 'storm']"
2248,2379,axis gk-013 107-key ps 2 keyboard black,computers,axis,gk-013,9.72,"{'title': 'axis gk-013 107-key ps 2 keyboard black', 'category': 'computers', 'brand': 'axis', 'modelno': 'gk-013', 'price': 9.72}","['monitors', 'desktop computers', 'software', 'computers', 'stationery & office machinery']","['rolodex', 'axis', 'ibm', 'apple', 'planar']"
1787,1915,targus sport notebook backpack,computers,targus,,29.97,"{'title': 'targus sport notebook backpack', 'category': 'computers', 'brand': 'targus', 'price': 29.97}","['hard drives', 'laptop computers', 'software', 'computers', 'memory']","['apricorn', 'terk', 'microsoft', 'targus', 'topics ent']"
1761,1889,chief manufacturing escutcheon ring,stationery & office machinery,chief manufacturing,,11.2,"{'title': 'chief manufacturing escutcheon ring', 'category': 'stationery & office machinery', 'brand': 'chief manufacturing', 'price': 11.2}","['furniture', 'accessories apparel', 'soi items - grocery hba pets', 'hand tools', 'stationery & office machinery']","['redi-tag corporation', 'royal', 'chief manufacturing', 'boss', 'general electric']"
2404,2537,corsair flash voyager 32gb usb 3.0 flash drive,usb drives,corsair,cmfvy3-32gb,74.88,"{'title': 'corsair flash voyager 32gb usb 3.0 flash drive', 'category': 'usb drives', 'brand': 'corsair', 'modelno': 'cmfvy3-32gb', 'price': 74.88}","['hard drives', 'usb drives', 'mp3 accessories', 'mp3', 'memory']","['ep memory', 'lexar', 'lexar media', 'guardian', 'corsair']"
967,1005,rca 10db video signal amplifier,stereos/audio,rca,vh100,14.54,"{'title': 'rca 10db video signal amplifier', 'category': 'stereos/audio', 'brand': 'rca', 'modelno': 'vh100', 'price': 14.54}","['mp3', 'portable audio', 'car stereos', 'dvd players', 'stereos/audio']","['rca', 'magnavox', 'xantech', 'kenwood', 'dj tech']"
677,699,avery file folder labels on mini-sheets 3-7 16 x 2 3 300 pack,stationery & office machinery,avery,2180,9.21,"{'title': 'avery file folder labels on mini-sheets 3-7 16 x 2 3 300 pack', 'category': 'stationery & office machinery', 'brand': 'avery', 'modelno': '2180', 'price': 9.21}","['printers', 'handbags', 'mice', 'stationery & office machinery', 'accessories apparel']","['avery personal creations', 'generic', 'sharpie', 'lexmark', 'avery']"
917,954,adesso pro mechanical gaming keyboard,electronics - general,adesso,mkb-135b,74.88,"{'title': 'adesso pro mechanical gaming keyboard', 'category': 'electronics - general', 'brand': 'adesso', 'modelno': 'mkb-135b', 'price': 74.88}","['mice', 'computers', 'mp3 accessories', 'software', 'electronics - general']","['scosche', 'adesso', 'generic', 'simplism', 'digital innovations']"
277,279,archos 10.1 touchscreen entertainmenttablet and ebook reader with google android os,laptop computers,archos,501594,279.0,"{'title': 'archos 10.1 touchscreen entertainmenttablet and ebook reader with google android os', 'category': 'laptop computers', 'brand': 'archos', 'modelno': '501594', 'price': 279.0}","['desktop computers', 'hard drives', 'laptop computers', 'computers', 'software']","['lenovo', 'archos', 'acer', 'asus', 'luxor']"
819,850,3m laptop lcd privacy computer filter pf15 .6 w,electronics - general,3m,pf15 .6 w,47.17,"{'title': '3m laptop lcd privacy computer filter pf15 .6 w', 'category': 'electronics - general', 'brand': '3m', 'modelno': 'pf15 .6 w', 'price': 47.17}","['mp3 accessories', 'memory', 'computers', 'electronics - general', 'portable audio']","['simplism', 'p3 international corporation', '3m', 'syba multimedia', 'generic']"
1452,1518,rf link 5.8 ghz audio video transmission system with ir repeater,electronics - general,rf link,avs-5811,94.54,"{'title': 'rf link 5.8 ghz audio video transmission system with ir repeater', 'category': 'electronics - general', 'brand': 'rf link', 'modelno': 'avs-5811', 'price': 94.54}","['walkie-talkie/frs', 'electronics - general', 'automotive - general', 'video receiving & installation', 'networking']","['d-link', 'just wireless', 'rf link', 'wireless gear', 'antenna']"
1004,1042,draper m2500 ultimate access series v electric screen - av format 9 x 9,electronics - general,draper,118212,3602.0,"{'title': 'draper m2500 ultimate access series v electric screen - av format 9 x 9', 'category': 'electronics - general', 'brand': 'draper', 'modelno': '118212', 'price': 3602.0}","['automotive - general', 'television', 'computers', 'monitors', 'electronics - general']","['victor', 'da-lite', 'generic', 'draper', 'ibm']"
1679,1797,vizio 55 class lcd 1080p 240hz hdtv xvt553sv refurbished,television,,xvt553sv,999.0,"{'title': 'vizio 55 class lcd 1080p 240hz hdtv xvt553sv refurbished', 'category': 'television', 'modelno': 'xvt553sv', 'price': 999.0}","['tv accessories', 'television', 'home theater', 'electronics : flat panel tv', 'satellite radio']","['magnavox', 'kenwood', 'lg', 'audiovox', 'vizio']"
1028,1069,static cling screen protector kit for apple ipad 2,electronics - general,writeright,9227801,0.0,"{'title': 'static cling screen protector kit for apple ipad 2', 'category': 'electronics - general', 'brand': 'writeright', 'modelno': '9227801', 'price': 0.0}","['stationery & office machinery', 'electronics - general', 'memory', 'computers', 'mp3 accessories']","['writeright', 'velcro', 'post-it', 'clickfree', 'generic']"
1567,1637,x-acto school pro desktop electric pencil sharpener blue gray,stationery & office machinery,x-acto,1670,44.88,"{'title': 'x-acto school pro desktop electric pencil sharpener blue gray', 'category': 'stationery & office machinery', 'brand': 'x-acto', 'modelno': '1670', 'price': 44.88}","['software', 'toys - learning systems', 'stationery & office machinery', 'soi items - grocery hba pets', 'mp3']","['sumdex', 'axis', 'mutant', 'x-acto', 'genius']"
1717,1843,imation 46157 dc6250 data cartridge,mp3 accessories,imation,46157,38.88,"{'title': 'imation 46157 dc6250 data cartridge', 'category': 'mp3 accessories', 'brand': 'imation', 'modelno': '46157', 'price': 38.88}","['mp3', 'portable audio', 'ipod', 'camcorders', 'mp3 accessories']","['ematic', 'topics ent', 'imation', 'simplism', 'speck']"
1632,1743,vizio 32 class lcd 720p 60hz hdtv e320vl refurbished,electronics : flat panel tv,vizio,rbe320vl,287.0,"{'title': 'vizio 32 class lcd 720p 60hz hdtv e320vl refurbished', 'category': 'electronics : flat panel tv', 'brand': 'vizio', 'modelno': 'rbe320vl', 'price': 287.0}","['satellite radio', 'home theater', 'television', 'electronics : flat panel tv', 'tv accessories']","['kenwood', 'audiovox', 'vizio', 'magnavox', 'lg']"
1523,1591,dymo labelmanager 260p,stationery & office machinery,dymo,1754490,59.97,"{'title': 'dymo labelmanager 260p', 'category': 'stationery & office machinery', 'brand': 'dymo', 'modelno': '1754490', 'price': 59.97}","['computers', 'software', 'mice', 'stationery & office machinery', 'handbags']","['post-it', 'generic', 'itw dymon', 'dp video', 'dymo']"
2173,2303,sony cyber-shot dsc-w570 16mp compact camera pink w 5x optical zoom 720p movie 2.7 lcd w 50 bonus prints,,sony,dsc-w570 / p,178.0,"{'title': 'sony cyber-shot dsc-w570 16mp compact camera pink w 5x optical zoom 720p movie 2.7 lcd w 50 bonus prints', 'brand': 'sony', 'modelno': 'dsc-w570 / p', 'price': 178.0}","['photography - general', 'camcorders', 'usb drives', 'film cameras', 'digital cameras']","['kodak', 'sandisk', 'canon', 'sony', 'polaroid']"
629,646,kensington k72327us slimblade trackball - usb,,kensington,k72327us,96.82,"{'title': 'kensington k72327us slimblade trackball - usb', 'brand': 'kensington', 'modelno': 'k72327us', 'price': 96.82}","['software', 'electronics - general', 'stationery & office machinery', 'mice', 'computers']","['ibm', 'wincraft', 'grip', 'planar', 'team pro mark']"
1949,2079,acme smart 15 laptop sleeve wet black antik,electronics - general,acme,am00778-ceu,29.88,"{'title': 'acme smart 15 laptop sleeve wet black antik', 'category': 'electronics - general', 'brand': 'acme', 'modelno': 'am00778-ceu', 'price': 29.88}","['accessories apparel', 'toys - general', 'electronics - general', 'stationery & office machinery', 'handbags']","['acme', 'simplism', 'acd systems', 'genius', 'avery personal creations']"
642,659,redi-tag corporation side-mount self-stick plastic index tabs nos 11-20 1in we 104 pack,stationery & office machinery,redi-tag corporation,,1.99,"{'title': 'redi-tag corporation side-mount self-stick plastic index tabs nos 11-20 1in we 104 pack', 'category': 'stationery & office machinery', 'brand': 'redi-tag corporation', 'price': 1.99}","['stationery & office machinery', 'handbags', 'computers', 'accessories apparel', 'printers']","['sharpie', 'avery', 'redi-tag corporation', 'rediform office products', 'generic']"
1795,1923,hp officejet 7500a wide format e-all-in-one printer w eprint mobile printing airprint,printers,hp,hp officejet 7500,249.98,"{'title': 'hp officejet 7500a wide format e-all-in-one printer w eprint mobile printing airprint', 'category': 'printers', 'brand': 'hp', 'modelno': 'hp officejet 7500', 'price': 249.98}","['monitors', 'computers', 'desktop computers', 'stationery & office machinery', 'printers']","['pny', 'lexmark', 'hp', 'xerox', 'ibm']"
530,546,microsoft sidewinder x6 keyboard,electronics - general,microsoft,,59.82,"{'title': 'microsoft sidewinder x6 keyboard', 'category': 'electronics - general', 'brand': 'microsoft', 'price': 59.82}","['electronics - general', 'software', 'desktop computers', 'mice', 'computers']","['avanquest', 'bluelounge', 'msi', 'microsoft', 'avid technology']"
578,594,uniden d2998 dect 6.0 loud and clear digital answering system with cordless handset,,uniden,d2998,79.93,"{'title': 'uniden d2998 dect 6.0 loud and clear digital answering system with cordless handset', 'brand': 'uniden', 'modelno': 'd2998', 'price': 79.93}","['garden - general', 'walkie-talkie/frs', 'phones', 'computers', 'electronics - general']","['cyber acoustics', 'da-lite', 'uniden', 'draper', 'general electric']"
393,402,draper hidef grey shadowbox clarion fixed frame screen - 133 diagonal hdtv format,electronics - general,draper,253090,1303.99,"{'title': 'draper hidef grey shadowbox clarion fixed frame screen - 133 diagonal hdtv format', 'category': 'electronics - general', 'brand': 'draper', 'modelno': '253090', 'price': 1303.99}","['automotive - general', 'computers', 'electronics - general', 'monitors', 'television']","['victor', 'generic', 'wintec', 'da-lite', 'draper']"
399,410,v7 25 cat5e network patch cable red,electronics - general,v7,v7n3c5e-25f-red,6.88,"{'title': 'v7 25 cat5e network patch cable red', 'category': 'electronics - general', 'brand': 'v7', 'modelno': 'v7n3c5e-25f-red', 'price': 6.88}","['automotive - general', 'memory', 'monitors', 'television', 'electronics - general']","['vantec', 'vivitar', 'vtech', 'v7', 'rayovac']"
1677,1795,vizio 42 class lcd 1080p 60hz hdtv e421vo,electronics : flat panel tv,,e421vo,498.0,"{'title': 'vizio 42 class lcd 1080p 60hz hdtv e421vo', 'category': 'electronics : flat panel tv', 'modelno': 'e421vo', 'price': 498.0}","['television', 'satellite radio', 'home theater', 'electronics : flat panel tv', 'tv accessories']","['kenwood', 'audiovox', 'lg', 'magnavox', 'vizio']"
834,867,apc premium audio video surge protector 8 outlet with coax protection 120v,computers,apc,p8v,39.0,"{'title': 'apc premium audio video surge protector 8 outlet with coax protection 120v', 'category': 'computers', 'brand': 'apc', 'modelno': 'p8v', 'price': 39.0}","['computers', 'software', 'desktop computers', 'laptop computers', 'monitors']","['apc', 'acer', 'pny', 'compaq', 'vivitar']"
1054,1096,siig 2.5 usb 2.0 to sata hard drive enclosure,electronics - general,siig,ju-sa0c12-s1,12.88,"{'title': 'siig 2.5 usb 2.0 to sata hard drive enclosure', 'category': 'electronics - general', 'brand': 'siig', 'modelno': 'ju-sa0c12-s1', 'price': 12.88}","['handbags', 'photography - general', 'automotive - general', 'electronics - general', 'furniture']","['ge', 'i/omagic corporation', 'samsill', 'giinii', 'siig']"
503,518,seal shield ssk107 medical grade keyboard - dishwasher safe black usb,computers,seal shield,ssk107,30.84,"{'title': 'seal shield ssk107 medical grade keyboard - dishwasher safe black usb', 'category': 'computers', 'brand': 'seal shield', 'modelno': 'ssk107', 'price': 30.84}","['computers', 'mice', 'memory', 'electronics - general', 'software']","['seal shield', 'microsoft', 'generic', 'avanquest', 'guardian']"
83,84,sony 4gb flash memory card black,usb drives,sony,sf4n4/tq,10.88,"{'title': 'sony 4gb flash memory card black', 'category': 'usb drives', 'brand': 'sony', 'modelno': 'sf4n4/tq', 'price': 10.88}","['digital cameras', 'film cameras', 'camera and camcorder accessories', 'usb drives', 'mp3']","['sony', 'polaroid', 'kodak', 'ep memory', 'sandisk']"
1193,1243,draper diamondscreen rear projection screen with system 200 black frame - 133 diagonal hdtv format,electronics - general,draper,127164,28172.7,"{'title': 'draper diamondscreen rear projection screen with system 200 black frame - 133 diagonal hdtv format', 'category': 'electronics - general', 'brand': 'draper', 'modelno': '127164', 'price': 28172.7}","['printers', 'television', 'monitors', 'automotive - general', 'electronics - general']","['diamond', 'diamond multimedia', 'genuine phillips', 'victor', 'draper']"
1582,1655,apple ipad smart cover for ipad 2 assorted colors,computers,apple,mc939ll/a,36.88,"{'title': 'apple ipad smart cover for ipad 2 assorted colors', 'category': 'computers', 'brand': 'apple', 'modelno': 'mc939ll/a', 'price': 36.88}","['mp3', 'desktop computers', 'software', 'laptop computers', 'computers']","['microsoft', 'ibm', 'office star', 'genius', 'apple']"
311,313,sabrent 2-port vga high resolution video splitter,electronics - general,sabrent,vd-vs2p,24.88,"{'title': 'sabrent 2-port vga high resolution video splitter', 'category': 'electronics - general', 'brand': 'sabrent', 'modelno': 'vd-vs2p', 'price': 24.88}","['automotive - general', 'computers', 'networking', 'electronics - general', 'toys - general']","['svat electronics', 'wintec', 'vantec', 'sabrent', 'antec']"
1784,1912,draper matte white luma with autoreturn manual screen - 100 diagonal ntsc format,electronics - general,draper,207118,186.55,"{'title': 'draper matte white luma with autoreturn manual screen - 100 diagonal ntsc format', 'category': 'electronics - general', 'brand': 'draper', 'modelno': '207118', 'price': 186.55}","['electronics - general', 'computers', 'television', 'monitors', 'automotive - general']","['genuine phillips', 'philips', 'da-lite', 'victor', 'draper']"
268,270,avery economy weight sheet protectors 100ct,stationery & office machinery,avery,75537,11.52,"{'title': 'avery economy weight sheet protectors 100ct', 'category': 'stationery & office machinery', 'brand': 'avery', 'modelno': '75537', 'price': 11.52}","['stationery & office machinery', 'accessories apparel', 'printers', 'handbags', 'mice']","['generic', 'avery personal creations', 'sharpie', 'simplism', 'avery']"
1436,1502,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,"{'title': 'san diego padres iphone 4 case silicone cover', 'category': 'electronics - general', 'brand': 'tribeca', 'modelno': 'fva3959', 'price': 24.99}","['electronics - general', 'accessories apparel', 'mice', 'handbags', 'automotive - general']","['msi', 'tribeca', 'lowrance', 'razer', 'team pro mark']"
804,834,cyberpower 825va 450w intelligent lcd battery backup ups,electronics - general,cyberpower,cp825lcd,88.73,"{'title': 'cyberpower 825va 450w intelligent lcd battery backup ups', 'category': 'electronics - general', 'brand': 'cyberpower', 'modelno': 'cp825lcd', 'price': 88.73}","['computers', 'hard drives', 'electronics - general', 'laptop computers', 'desktop computers']","['cyberpower', 'cyber acoustics', 'power mate', 'thermaltake', 'penpower']"
249,251,samsung bd-c6500 blu-ray player wifi - internet tv . download apps like blockbuster facebook youtube twitter flickr pandora and vudu . refurbished,dvd players,samsung,bd-c6500,109.0,"{'title': 'samsung bd-c6500 blu-ray player wifi - internet tv . download apps like blockbuster facebook youtube twitter flickr pandora and vudu . refurbished', 'category': 'dvd players', 'brand': 'samsung', 'modelno': 'bd-c6500', 'price': 109.0}","['dvd players', 'mp3', 'camcorders', 'television', 'home theater']","['toshiba', 'five star', 'disney', 'magnavox', 'samsung']"
1904,2034,micro innovations full size multimedia stereo headset,electronics - general,micro innovations,mm750h,13.82,"{'title': 'micro innovations full size multimedia stereo headset', 'category': 'electronics - general', 'brand': 'micro innovations', 'modelno': 'mm750h', 'price': 13.82}","['mice', 'toys - learning systems', 'mp3 accessories', 'portable audio', 'electronics - general']","['micro innovations', 'digital innovations', 'cocoon innovations', 'creative labs', 'micronet']"
1922,2052,georgetown hoyas iphone 4 case black shell,electronics - general,tribeca,fva3162,29.99,"{'title': 'georgetown hoyas iphone 4 case black shell', 'category': 'electronics - general', 'brand': 'tribeca', 'modelno': 'fva3162', 'price': 29.99}","['tv accessories', 'electronics - general', 'furniture', 'handbags', 'accessories apparel']","['team pro mark', 'general electric', 'tribeca', 'griffin', 'ge']"
1945,2075,ifrogz ipod iphone lux car charger red,mp3 accessories,ifrogz,chargerluxred,11.0,"{'title': 'ifrogz ipod iphone lux car charger red', 'category': 'mp3 accessories', 'brand': 'ifrogz', 'modelno': 'chargerluxred', 'price': 11.0}","['usb drives', 'ipod', 'mp3 accessories', 'mp3', 'portable audio']","['imation', 'speck', 'simplism', 'ifrogz', 'topics ent']"
816,847,skb cases ls series luggage style transport case 7 11 16 h x 21 1 8 w x 15 3 4 d outside,electronics - general,skb cases,9p2014-01be,114.99,"{'title': 'skb cases ls series luggage style transport case 7 11 16 h x 21 1 8 w x 15 3 4 d outside', 'category': 'electronics - general', 'brand': 'skb cases', 'modelno': '9p2014-01be', 'price': 114.99}","['toys - general', 'electronics - general', 'automotive - general', 'computers', 'memory']","['syba multimedia', 'skb cases', 'scosche', 'skooba design', 'sakar']"
260,262,draper cineflex ultimate folding replacement surface portable screen - 9 x 12 ntsc format,electronics - general,draper,241119,755.0,"{'title': 'draper cineflex ultimate folding replacement surface portable screen - 9 x 12 ntsc format', 'category': 'electronics - general', 'brand': 'draper', 'modelno': '241119', 'price': 755.0}","['television', 'monitors', 'automotive - general', 'computers', 'electronics - general']","['gemini', 'wintec', 'generic', 'victor', 'draper']"
