,ltable_id,rtable_id,label,l_entity,r_entity
22,8756,2495,1,"{'/sku': '[ga2011aer]', 'category': 'Jewelry', 'description': '  ""Casio GA-201-1AER""@bg GA-201-1AER | G-Shock Stotak.com""@bg', 'title': 'Casio GA-201-1AER', 'brand': 'G-Shock', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': ''}","{'title': 'Casio GA-201-1AER', 'brand': 'G-Shock', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': '', 'description': '  ""Casio GA-201-1AER""@bg GA-201-1AER | G-Shock Stotak.com""@bg'}"
23,5832,2336,1,"{'/sku': '[ga2011aer]', 'category': 'Jewelry', 'description': '  ""Reloj Casio g-shock GA-201-1AER"" GA-201-1AER | KronosPA.com""  ""Casio gama GA-201 G-SHOCK resisten', 'title': 'Reloj Casio g-shock GA-201-1AER', 'brand': 'Casio', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': ''}","{'title': 'Casio GA-201-1AER', 'brand': 'G-Shock', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': '', 'description': '  ""Casio GA-201-1AER""@bg GA-201-1AER | G-Shock Stotak.com""@bg'}"
24,1328,3597,1,"{'/sku': '[ga2011aer]', 'category': 'Jewelry', 'description': '  ""Reloj Casio g-shock GA-201-1AER"" GA-201-1AER | KronosPA.com""  ""Casio gama GA-201 G-SHOCK resisten', 'title': 'Reloj Casio g-shock GA-201-1AER', 'brand': 'Casio', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': ''}","{'title': 'Reloj Casio g-shock GA-201-1AER', 'brand': 'Casio', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': '', 'description': '  ""Reloj Casio g-shock GA-201-1AER"" GA-201-1AER | KronosPA.com""  ""Casio gama GA-201 G-SHOCK resisten'}"
25,5328,714,0,"{'/sku': '[ga2011aer]', 'category': 'Jewelry', 'description': '  ""Reloj Casio g-shock GA-201-1AER"" GA-201-1AER | KronosPA.com""  ""Casio gama GA-201 G-SHOCK resisten', 'title': 'Reloj Casio g-shock GA-201-1AER', 'brand': 'Casio', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': ''}","{'title': '  ""Michele Serein Diamond Gold Watch"" ""Dynamic Filter""', 'sku': {'title': '  ""Michele Serein Diamond Gold Watch"" ""Dynamic Filter""', 'sku': nan}, 'description': '  ""Michele Serein Diamond Gold Watch"" ""Dynamic Filter""'}"
26,2240,6613,0,"{'/sku': '[ga2011aer]', 'category': 'Jewelry', 'description': '  ""Casio GA-201-1AER""@bg GA-201-1AER | G-Shock Stotak.com""@bg', 'title': 'Casio GA-201-1AER', 'brand': 'G-Shock', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': ''}","{'title': 'MW21A01B0966_MS18EV246710', 'brand': 'Michele', 'color': 'Gold plated', 'gender': 'Ladies', 'sku': 'MW21A01B0966_MS18EV246710', 'diameter': 'N/A', 'description': '  ""Michele Serein Watch MW21A01B0966_MS18EV246710"" ""Shop Michele MWW21A000001 Watches | Costello Jew'}"
27,5840,7131,0,"{'/sku': '[ga2011aer]', 'category': 'Jewelry', 'description': '  ""Reloj Casio g-shock GA-201-1AER"" GA-201-1AER | KronosPA.com""  ""Casio gama GA-201 G-SHOCK resisten', 'title': 'Reloj Casio g-shock GA-201-1AER', 'brand': 'Casio', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': ''}","{'title': '', 'brand': 'Brand', 'color': 'Color', 'gender': 'Gender', 'sku': '', 'diameter': 'Diameter', 'description': '  ""Unisex M200 Bluetooth GPS Activity Tracker Heart Rate Monitor Alarm Chronograph Watch ""@de ""GPS U'}"
28,5328,6429,0,"{'/sku': '[ga2011aer]', 'category': 'Jewelry', 'description': '  ""Reloj Casio g-shock GA-201-1AER"" GA-201-1AER | KronosPA.com""  ""Casio gama GA-201 G-SHOCK resisten', 'title': 'Reloj Casio g-shock GA-201-1AER', 'brand': 'Casio', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': ''}","{'title': 'Cartier', 'brand': 'Cartier', 'color': '', 'gender': '', 'sku': '', 'diameter': '', 'description': '  ""Cartier"" ""CartierCartier Tank Francaise Series Women\'s Watch W50002N2""   ""See a beautiful diamond'}"
29,4606,6722,0,"{'/sku': '[ga2011aer]', 'category': 'Jewelry', 'description': '  ""Reloj Casio g-shock GA-201-1AER"" GA-201-1AER | KronosPA.com""  ""Casio gama GA-201 G-SHOCK resisten', 'title': 'Reloj Casio g-shock GA-201-1AER', 'brand': 'Casio', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': ''}","{'title': 'Cartier', 'brand': 'Cartier', 'color': '', 'gender': '', 'sku': '', 'diameter': '', 'description': '  ""Cartier"" ""CartierCartier Roadster Series Men\'s Watch W62025V3""   ""See a beautiful diamond watch o'}"
30,8179,1595,0,"{'/sku': '[ga2011aer]', 'category': 'Jewelry', 'description': '  ""Casio GA-201-1AER""@bg GA-201-1AER | G-Shock Stotak.com""@bg', 'title': 'Casio GA-201-1AER', 'brand': 'G-Shock', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': ''}","{'title': 'Cartier', 'brand': 'Cartier', 'color': '', 'gender': '', 'sku': '', 'diameter': '', 'description': '  ""Cartier"" ""CartierCartier Tank Francaise Series Women\'s Watch W50002N2""   ""See a beautiful diamond'}"
31,4606,4783,0,"{'/sku': '[ga2011aer]', 'category': 'Jewelry', 'description': '  ""Reloj Casio g-shock GA-201-1AER"" GA-201-1AER | KronosPA.com""  ""Casio gama GA-201 G-SHOCK resisten', 'title': 'Reloj Casio g-shock GA-201-1AER', 'brand': 'Casio', 'color': 'black', 'gender': ""Men's"", 'sku': 'GA-201-1AER', 'diameter': ''}","{'title': 'Cartier', 'brand': 'Cartier', 'color': '', 'gender': '', 'sku': '', 'diameter': '', 'description': '  ""Cartier"" ""CartierCartier Tank Francaise Series Women\'s Watch W51028Q3""   ""See a beautiful diamond'}"
35,6396,4681,1,"{'/sku': '[4235gstw100g1ber]', '/mpn': '[gstw100g1ber]', '/gtin13': '[4549526125485]', 'brand': '""Casio""@en', 'category': 'Jewelry', 'Target Group:': 'Mens', 'housing diameter:': '52 mm', 'housing height:': '16 mm', 'Shape:': 'Round', 'housing color:': 'Black', 'glass:': 'Mineral crystal', 'Material:': 'Stainless steel', 'Display:': 'Ana-Digital Digital watches and clocks have a digi', 'Dial Color:': 'Black', 'Digits:': 'Arabic', 'description': '  ""G-Shock Style Funk-Solaruhr""@de ""Casio G-Shock Funk-Solaruhr GST-W100G-1BER nur 279 00 €""@de  "" A', 'title': '  ""G-Shock Style Funk-Solaruhr""@de ""Casio G-Shock Funk-Solaruhr GST-W100G-1BER nur 279 00 €""@de  "" A', 'sku': {'title': '  ""G-Shock Style Funk-Solaruhr""@de ""Casio G-Shock Funk-Solaruhr GST-W100G-1BER nur 279 00 €""@de  "" A', 'sku': ""['4235gstw100g1ber', 'gstw100g1ber']""}}","{'title': ""Casio Men's G-Steel Alarm Chronograph Watch"", 'brand': 'Casio', 'color': 'black', 'gender': ""Men's"", 'sku': 'GST-W100G-1BER', 'diameter': '', 'description': '  "" Casio Men\'s G-Steel Alarm Chronograph Watch""@en ""Men\'s Watch (GST-W100G-1BER) - WATCH SHOP.com™""'}"
36,6132,5684,1,"{'/sku': '[4235gstw100g1ber]', '/mpn': '[gstw100g1ber]', '/gtin13': '[4549526125485]', 'brand': 'Casio', 'category': 'Jewelry', 'Target Group:': 'Mens', 'housing diameter:': '52 mm', 'housing height:': '16 mm', 'Shape:': 'Round', 'housing color:': 'Black', 'glass:': 'Mineral crystal', 'Material:': 'Stainless steel', 'Display:': 'Ana-Digital Digital watches and clocks have a digi', 'Dial Color:': 'Black', 'Digits:': 'Arabic', 'description': '  "" Casio Men\'s G-Steel Alarm Chronograph Watch""@en ""Men\'s Watch (GST-W100G-1BER) - WATCH SHOP.com™""', 'title': ""Casio Men's G-Steel Alarm Chronograph Watch"", 'color': 'black', 'gender': ""Men's"", 'sku': 'GST-W100G-1BER', 'diameter': ''}","{'title': '  ""G-Shock Style Funk-Solaruhr""@de ""Casio G-Shock Funk-Solaruhr GST-W100G-1BER nur 279 00 €""@de  "" A', 'sku': {'title': '  ""G-Shock Style Funk-Solaruhr""@de ""Casio G-Shock Funk-Solaruhr GST-W100G-1BER nur 279 00 €""@de  "" A', 'sku': ""['4235gstw100g1ber', 'gstw100g1ber']""}, 'description': '  ""G-Shock Style Funk-Solaruhr""@de ""Casio G-Shock Funk-Solaruhr GST-W100G-1BER nur 279 00 €""@de  "" A'}"
38,8447,6917,0,"{'/sku': '[4235gstw100g1ber]', '/mpn': '[gstw100g1ber]', '/gtin13': '[4549526125485]', 'brand': 'Casio', 'category': 'Jewelry', 'Target Group:': 'Mens', 'housing diameter:': '52 mm', 'housing height:': '16 mm', 'Shape:': 'Round', 'housing color:': 'Black', 'glass:': 'Mineral crystal', 'Material:': 'Stainless steel', 'Display:': 'Ana-Digital Digital watches and clocks have a digi', 'Dial Color:': 'Black', 'Digits:': 'Arabic', 'description': '  "" Casio Men\'s G-Steel Alarm Chronograph Watch""@en ""Men\'s Watch (GST-W100G-1BER) - WATCH SHOP.com™""', 'title': ""Casio Men's G-Steel Alarm Chronograph Watch"", 'color': 'black', 'gender': ""Men's"", 'sku': 'GST-W100G-1BER', 'diameter': ''}","{'title': ""Casio Men's Edifice Time Traveller Bluetooth Hybrid Smartwatch Alarm Chronograph Watch"", 'brand': 'Casio', 'color': 'EQB-500DB-2AER', 'gender': ""Men's"", 'sku': ""Men's Watch (EQB-500DB-2AER)"", 'diameter': '', 'description': '  "" Casio Men\'s Edifice Time Traveller Bluetooth Hybrid Smartwatch Alarm Chronograph Watch""@en ""Men\''}"
39,3051,6114,0,"{'/sku': '[4235gstw100g1ber]', '/mpn': '[gstw100g1ber]', '/gtin13': '[4549526125485]', 'brand': '""Casio""@en', 'category': 'Jewelry', 'Target Group:': 'Mens', 'housing diameter:': '52 mm', 'housing height:': '16 mm', 'Shape:': 'Round', 'housing color:': 'Black', 'glass:': 'Mineral crystal', 'Material:': 'Stainless steel', 'Display:': 'Ana-Digital Digital watches and clocks have a digi', 'Dial Color:': 'Black', 'Digits:': 'Arabic', 'description': '  ""G-Shock Style Funk-Solaruhr""@de ""Casio G-Shock Funk-Solaruhr GST-W100G-1BER nur 279 00 €""@de  "" A', 'title': '  ""G-Shock Style Funk-Solaruhr""@de ""Casio G-Shock Funk-Solaruhr GST-W100G-1BER nur 279 00 €""@de  "" A', 'sku': {'title': '  ""G-Shock Style Funk-Solaruhr""@de ""Casio G-Shock Funk-Solaruhr GST-W100G-1BER nur 279 00 €""@de  "" A', 'sku': ""['4235gstw100g1ber', 'gstw100g1ber']""}}","{'title': ""Casio Men's Edifice Time Traveller Bluetooth Hybrid Smartwatch Alarm Chronograph Watch"", 'brand': 'Casio', 'color': 'EQB-500DB-2AER', 'gender': ""Men's"", 'sku': ""Men's Watch (EQB-500DB-2AER)"", 'diameter': '', 'description': '  "" Casio Men\'s Edifice Time Traveller Bluetooth Hybrid Smartwatch Alarm Chronograph Watch""@en ""Men\''}"
48,7099,6345,1,"{'/sku': '[dw00100127]', 'category': 'Jewelry', 'description': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'title': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'sku': {'title': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'sku': ""['dw00100127']""}}","{'title': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'sku': {'title': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'sku': ""['dw00100127']""}, 'description': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin'}"
53,3395,6968,0,"{'/sku': '[dw00100127]', 'category': 'Jewelry', 'description': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'title': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'sku': {'title': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'sku': ""['dw00100127']""}}","{'title': 'MW21A01B0966_MS18EV246710', 'brand': 'Michele', 'color': 'Gold plated', 'gender': 'Ladies', 'sku': 'MW21A000008', 'diameter': 'Scratch resistant sapphire crystal', 'description': '  ""Michele Serein Watch MW21A01B0966_MS18EV246710"" ""Shop Michele MWW21A000008 Watches | Costello Jew'}"
54,8555,8413,0,"{'/sku': '[dw00100127]', 'category': 'Jewelry', 'description': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'title': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'sku': {'title': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'sku': ""['dw00100127']""}}","{'title': '  ""Michele Serein Diamond Watch"" ""Dynamic Filter""', 'sku': {'title': '  ""Michele Serein Diamond Watch"" ""Dynamic Filter""', 'sku': nan}, 'description': '  ""Michele Serein Diamond Watch"" ""Dynamic Filter""'}"
56,4508,7130,0,"{'/sku': '[dw00100127]', 'category': 'Jewelry', 'description': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'title': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'sku': {'title': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'sku': ""['dw00100127']""}}","{'title': '', 'brand': 'Cartier', 'color': '', 'gender': 'W', 'sku': 'W20018D6', 'diameter': '', 'description': '  ""Cartier Santos W20018D6"" W20018D6 Watch | Watchfinder & Co.""  ""This Cartier has undergone a thoro'}"
61,5114,4188,0,"{'/sku': '[dw00100127]', 'category': 'Jewelry', 'description': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'title': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'sku': {'title': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'sku': ""['dw00100127']""}}","{'title': 'Cartier', 'brand': 'Cartier', 'color': '', 'gender': 'Unisex', 'sku': 'WR000251', 'diameter': '', 'description': '  ""Cartier"" ""CartierCartier Ronde Louis Unisex Gold Watch WR000251""   ""See a beautiful diamond watch'}"
62,7370,8296,0,"{'/sku': '[dw00100127]', 'category': 'Jewelry', 'description': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'title': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'sku': {'title': '  "" DANİEL WELLİNGTON DW00100127 Kol Saati ""@tr ""Daniel Wellington En Ucuz Fiyat""@tr  ""Daniel Wellin', 'sku': ""['dw00100127']""}}","{'title': 'Cartier', 'brand': 'Cartier', 'color': '', 'gender': 'Unisex', 'sku': 'WR000251', 'diameter': '', 'description': '  ""Cartier"", ""CartierCartier Ronde Louis Unisex Gold Watch WR000251""  ""See a beautiful diamond watch'}"
63,9108,7722,0,"{'/sku': '[6417084156778]', 'brand': '""Suunto""', 'category': 'Jewelry', 'Altímetro': 'Altimetro Barométrico', 'Barómetro': 'Si', 'Brújula': 'Si', 'Cinta Frecuencia Cardiaca': 'No', 'Cronómetro': 'Si', 'Función Frecuencia Cardiaca': 'No', 'GPS': 'No', 'Resistencia al Agua': '30 m', 'Software para PC': 'No Incluido', 'Uso Recomendado': 'Trekking y Senderismo, Alta Montaña y Expediciones', 'Peso Aproximado': '64 g'}","{'title': 'Pro Trek Gunung Bintang reloj para hombre', 'brand': 'Casio', 'color': '', 'gender': 'hombre', 'sku': 'nur 299 00 €', 'diameter': '', 'description': '  ""Pro Trek Gunung Bintang reloj para hombre""@es ""Casio Pro hombre nur 299 00 €""@es'}"
64,8660,216,0,"{'/sku': '[6417084156778]', 'brand': '""Suunto""', 'category': 'Jewelry', 'Altímetro': 'Altimetro Barométrico', 'Barómetro': 'Si', 'Brújula': 'Si', 'Cinta Frecuencia Cardiaca': 'No', 'Cronómetro': 'Si', 'Función Frecuencia Cardiaca': 'No', 'GPS': 'No', 'Resistencia al Agua': '30 m', 'Software para PC': 'No Incluido', 'Uso Recomendado': 'Trekking y Senderismo, Alta Montaña y Expediciones', 'Peso Aproximado': '64 g'}","{'title': 'SUUNTO AMBIT3 PEAK NEGRO', 'brand': 'Suunto', 'color': 'NEGRO', 'gender': '', 'sku': '', 'diameter': '', 'description': '  ""SUUNTO AMBIT3 PEAK NEGRO"" NEGRO - Suunto Mexico""  "" EL RELOJ GPS PARA EXPLORADORES CON FUNCIONES '}"
72,3703,1056,0,"{'/sku': '[6417084156778]', 'brand': '""Suunto""', 'category': 'Jewelry', 'Altímetro': 'Altimetro Barométrico', 'Barómetro': 'Si', 'Brújula': 'Si', 'Cinta Frecuencia Cardiaca': 'No', 'Cronómetro': 'Si', 'Función Frecuencia Cardiaca': 'No', 'GPS': 'No', 'Resistencia al Agua': '30 m', 'Software para PC': 'No Incluido', 'Uso Recomendado': 'Trekking y Senderismo, Alta Montaña y Expediciones', 'Peso Aproximado': '64 g'}","{'title': 'Collection Reloj para hombre', 'brand': 'Casio', 'color': 'A168WEGC-5EF', 'gender': 'hombre', 'sku': 'nur 64', 'diameter': '90 €', 'description': '  ""Collection Reloj para hombre""@es 90 €""@es ""Casio Collection hombre A168WEGC-5EF nur 64'}"
73,8844,1961,1,"{'/productID': '[nixa2861062]', 'category': 'Jewelry', 'description': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'title': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'sku': {'title': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'sku': ""['nixa2861062']""}}","{'title': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'sku': {'title': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'sku': ""['nixa2861062']""}, 'description': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar'}"
74,5395,3542,0,"{'/productID': '[nixa2861062]', 'category': 'Jewelry', 'description': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'title': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'sku': {'title': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'sku': ""['nixa2861062']""}}","{'title': '  ""Michele Serein Diamond Gold Watch"" ""Dynamic Filter""', 'sku': {'title': '  ""Michele Serein Diamond Gold Watch"" ""Dynamic Filter""', 'sku': nan}, 'description': '  ""Michele Serein Diamond Gold Watch"" ""Dynamic Filter""'}"
75,1961,6613,0,"{'/productID': '[nixa2861062]', 'category': 'Jewelry', 'description': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'title': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'sku': {'title': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'sku': ""['nixa2861062']""}}","{'title': 'MW21A01B0966_MS18EV246710', 'brand': 'Michele', 'color': 'Gold plated', 'gender': 'Ladies', 'sku': 'MW21A01B0966_MS18EV246710', 'diameter': 'N/A', 'description': '  ""Michele Serein Watch MW21A01B0966_MS18EV246710"" ""Shop Michele MWW21A000001 Watches | Costello Jew'}"
76,7709,7131,0,"{'/productID': '[nixa2861062]', 'category': 'Jewelry', 'description': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'title': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'sku': {'title': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'sku': ""['nixa2861062']""}}","{'title': '', 'brand': 'Brand', 'color': 'Color', 'gender': 'Gender', 'sku': '', 'diameter': 'Diameter', 'description': '  ""Unisex M200 Bluetooth GPS Activity Tracker Heart Rate Monitor Alarm Chronograph Watch ""@de ""GPS U'}"
77,3176,5263,0,"{'/productID': '[nixa2861062]', 'category': 'Jewelry', 'description': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'title': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'sku': {'title': '  ""Nixon Shutter Ladies Quartz Watch - A2861062""@en A2861062 Watches""@en  ""Nixon Shutter Ladies Quar', 'sku': ""['nixa2861062']""}}","{'description': '  IL ""@en-US "" Online Store | Distinctive Gold Jewelry in Frankfort', 'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}"
