,ltable_id,rtable_id,l_entity,r_entity,label
23,866,866,"{'title': '""Canon EF-S 55-250mm f 4-5.6 IS STM Telephoto Zoom Lens""@en Lens (8546B002)@en', 'category': 'Camera Lenses', 'subcategory': 'Telephoto Zoom Lenses', 'brand': 'Canon', 'modelno': '8546B002', 'sku': '55250STM', 'key_features': ['IS', 'STM', 'Telephoto', 'Zoom']}","{'title': '""Canon - EF-S 55-250mm f/4-5.6 IS STM Telephoto Zoom Lens for Select Canon Cameras Black""@en-US', 'category': 'Photography', 'subcategory': 'Lenses', 'brand': 'Canon', 'modelno': 'EF-S 55-250mm', 'sku': 'EFS55250ISSTM', 'key_features': ['STM focus motor', 'Image Stabilization', 'Compact design']}",1
24,318,944,"{
  ""title"": ""\""Manfrotto 190 Aluminium 4 Section Tripod - Black\""@en Black LN67506 MT190XPRO4 | SCAN UK\""@en"",
  ""category"": ""Photography"",
  ""subcategory"": ""Tripods"",
  ""brand"": ""Manfrotto"",
  ""modelno"": ""MT190XPRO4"",
  ""sku"": ""LN67506"",
  ""key_features"": [""4-section aluminum legs"", ""3-way panhead"", ""Maximum height: 155cm"", ""Folded size: 45cm""]
}
","{
  ""title"": ""\""Manfrotto Carbon Fiber Tripod\""@en Tripod MT055CXPRO3 - Filmtools""@en"",
  ""category"": ""Photography"",
  ""subcategory"": ""Tripods"",
  ""brand"": ""Manfrotto"",
  ""modelno"": ""MT055CXPRO3"",
  ""sku"": ""Tripod"",
  ""key_features"": [""3-section carbon fiber legs"", ""3-way panhead"", ""Maximum height: 150cm"", ""Folded size: 45cm""]
}
",0
25,621,1394,"{
  ""title"": ""\""Manfrotto X-PRO 3-Way Head - tripod head\"" \"" Manfrotto head MHXPRO-3W Tripods CDWG.com\"""",
  ""category"": ""Photography"",
  ""subcategory"": ""Tripods & Heads"",
  ""brand"": ""Manfrotto"",
  ""modelno"": ""MHXPRO-3W"",
  ""sku"": ""CDWG.com"",
  ""key_features"": [""3-way head"", ""durable construction"", ""smooth operation""]
}
","{
  ""title"": ""\""Manfrotto X-PRO 3-Way Camera Head - Black\""@en Black LN67517 MHXPRO-3W | SCAN UK""@en"",
  ""category"": ""Photography"",
  ""subcategory"": ""Camera Supports & Tripods"",
  ""brand"": ""Manfrotto"",
  ""modelno"": ""X-PRO 3-Way Camera Head"",
  ""sku"": ""Black LN67517 MHXPRO-3W | SCAN UK"",
  ""key_features"": [""3-way camera head"", ""Lightweight and compact"", ""Quick release plate""]
}
",0
26,1323,189,"{
  ""title"": ""\""Canon Speedlite 270EX II\""@en \"" Canon II | Digital SLR Camera Toronto Canada Store Cameras Aden \""@en"",
  ""category"": ""Digital SLR Camera"",
  ""subcategory"": ""Speedlite"",
  ""brand"": ""Canon"",
  ""modelno"": ""270EX II"",
  ""sku"": ""Canon 270EX II"",
  ""key_features"": [""Flash Exposure Compensation"", ""Auto Zoom"", ""Bounce Flash"", ""Manual Flash Power Adjustment""]
}
","{
  ""title"": ""\""Canon EOS Rebel SL1 Digital SLR with 18-55mm STM Lens\""@en-US ""Digital Cameras - Page 7 | EISF""@en-US"",
  ""category"": ""Digital Cameras"",
  ""subcategory"": ""DSLR Cameras"",
  ""brand"": ""Canon"",
  ""modelno"": ""SL1"",
  ""sku"": ""with 18-55mm STM Lens"",
  ""key_features"": [""18.0 Megapixel CMOS Sensor"", ""Dual DIGIC 4 Image Processors"", ""3.0\"" LCD Monitor"", ""STM Lens""]
}
",0
27,150,1383,"{
  ""title"": ""\""Garmin VIRB XE - action camera\"" \"" Garmin camera 010-01363-11 Video Camcorders CDW.com"",
  ""category"": ""Electronics"",
  ""subcategory"": ""Cameras"",
  ""brand"": ""Garmin"",
  ""modelno"": ""010-01363-11"",
  ""sku"": ""VIRB XE"",
  ""key_features"": [""HD recording"", ""Wi-Fi connectivity"", ""GPS tracking""]
}
","{
  ""title"": ""\""Pyle PLCMTR71 Weatherproof Rearview Backup Camera System Kit with 7â€™â€™ LCD Color Monitor, IR Night Vision Camera, Dual DC Voltage 12-24 for Bus, Truck, Trailer, Van\"" \""Car Safety & Security - Page 11 | Auto Electronics Express\"""",
  ""category"": ""Automotive"",
  ""subcategory"": ""Car Safety & Security"",
  ""brand"": ""Pyle"",
  ""modelno"": ""PLCMTR71"",
  ""sku"": ""Weatherproof Rearview Backup Camera System Kit"",
  ""key_features"": [""Weatherproof"", ""IR night vision"", ""Dual DC voltage"", ""7' LCD color monitor""]
}
",0
28,989,578,"{
  ""title"": ""\""Nilox F60 Reloaded Full HD Wifi\"" Wifi comprar e ofertas na Goalinn"",
  ""category"": ""Electronics"",
  ""subcategory"": ""Cameras"",
  ""brand"": ""Nilox"",
  ""modelno"": ""F60 Reloaded"",
  ""sku"": ""Full HD Wifi"",
  ""key_features"": [""Wi-Fi"", ""Full HD"", ""Reloaded model""]
}
","{
  ""title"": ""\""Videocámara CANON HFM-500\""@es"",
  ""category"": ""Electronics"",
  ""subcategory"": ""Cameras & Optics"",
  ""brand"": ""Canon"",
  ""modelno"": ""HFM-500"",
  ""sku"": ""CANHFM500"",
  ""key_features"": [""32x optical zoom"", ""1080p full HD video"", ""12MP photos"", ""Image stabilization""]
}
",0
29,463,133,"{
  ""title"": ""\""GoPro Wall Charger\"" Charger - Razor Reef"",
  ""category"": ""Electronics"",
  ""subcategory"": ""Chargers"",
  ""brand"": ""GoPro"",
  ""modelno"": ""Razor Reef"",
  ""sku"": ""WallCharger"",
  ""key_features"": [""Fast charging"", ""Portable"", ""Compatibility with GoPro devices""]
}
","{
  ""title"": ""\"" GoPro HERO3+: Silver Edition ""@en-US ""GoPro | Come As You Arts""@en-US"",
  ""category"": ""Cameras"",
  ""subcategory"": ""Action Cameras"",
  ""brand"": ""GoPro"",
  ""modelno"": ""HERO3+ Silver Edition"",
  ""sku"": ""Come As You Arts"",
  ""key_features"": [""4K Video Recording"", ""12MP Photos"", ""Wi-Fi and Bluetooth Connectivity"", ""Touch Screen Display""]
}
",0
30,150,1051,"{'title': 'Garmin VIRB XE - action camera', 'category': 'Electronics', 'subcategory': 'Cameras', 'brand': 'Garmin', 'modelno': '010-01363-11', 'sku': 'Video Camcorders', 'key_features': ['HD video recording', 'Wi-Fi connectivity', 'GPS tracking']}","{'title': '""Batteria Per Leica GEB121""@it Batteria per Stazioni Totali TPS 1000 e 2000 GEB187 Batterie leica GEB211 Betteria 400/700/800/1100 GEB221 Stazione Totale Ricaricabile Ni-M ""@it GEB121 Gps GEB111', 'category': 'Electronics', 'subcategory': 'Batteries', 'brand': 'Leica', 'modelno': 'GEB121', 'sku': 'BAT-002', 'key_features': ['For Leica GEB121', 'Stations Totali TPS 1000 and 2000', 'Compatible with GEB187', 'Batterie Leica GEB211', 'Batteria 400/700/800/1100', 'Stazione Totale Ricaricabile', 'Ni-M', 'Gps', 'GEB111']}",0
31,951,778,,"{
  ""title"": ""\""Logitech C920 15MP 1920 x 1080pixels USB 2.0 Black webcam\"" \""Product data Logitech webcam webcams (960-001055 5099206061309)\"""",
  ""category"": ""Electronics"",
  ""subcategory"": ""Cameras & Optics"",
  ""brand"": ""Logitech"",
  ""modelno"": ""C920"",
  ""sku"": ""960-001055"",
  ""key_features"": [""15MP resolution"", ""1080p"", ""USB 2.0"", ""Autofocus"", ""30fps""]
}
",0
32,1059,664,"{
  ""title"": ""\""GoPro HERO5 Black 4K Camera\""@en Camera - CHDHX-501""@en"",
  ""category"": ""Electronics"",
  ""subcategory"": ""Cameras & Optics"",
  ""brand"": ""GoPro"",
  ""modelno"": ""CHDHX-501"",
  ""sku"": ""GoPro HERO5 Black 4K Camera"",
  ""key_features"": [""4K video recording"", ""Wi-Fi and Bluetooth connectivity"", ""Touch screen display""]
}
","{
  ""title"": ""\""GoPro Hero 6 Black\"" Black - iCentre Malta Apple"",
  ""category"": ""Action Cameras"",
  ""subcategory"": ""GoPro Hero 6 Black"",
  ""brand"": ""GoPro"",
  ""modelno"": ""Hero 6 Black"",
  ""sku"": ""Black"",
  ""key_features"": [""4K60 and 1080p240 video recording"", ""Wi-Fi and Bluetooth connectivity"", ""Touch screen display"", ""Voice control""]
}
",0
33,348,1331,"{
  ""title"": ""\""Jumelle CONQUEST HD 10 x 42 Zeiss\"" Conquest Hd X Zeiss - Le-Chasseur"",
  ""category"": ""Optics"",
  ""subcategory"": ""Binoculars"",
  ""brand"": ""Zeiss"",
  ""modelno"": ""Conquest HD 10 x 42"",
  ""sku"": ""ZEISS-CONQUEST-HD-10X42"",
  ""key_features"": [""HD glass"", ""Zeiss T* anti-reflective coating"", ""10x magnification"", ""42mm objective lens"", ""Field of view: 110m @ 1000m""]
}
","{
  ""title"": ""\""Savage 11 Trophy Hunter XP Package, Bolt Action, .300 WSM, Nikon BDC Scope, 4+1 Rounds\"""",
  ""category"": ""Sports"",
  ""subcategory"": ""Hunting"",
  ""brand"": ""Savage"",
  ""modelno"": ""11 Trophy Hunter XP Package"",
  ""sku"": ""22020"",
  ""key_features"": [""Bolt action"", "".300 WSM caliber"", ""Nikon BDC scope"", ""4+1 rounds"", ""AccuTrigger""]
}
",0
34,638,1013,"{
  ""title"": ""\""Canon EF-S 10-22mm f/3.5-4.5 USM Lens\""@en Aden Camera \""@en Digital Cameras \"" Canon Lens | SLR Toronto Canada Store"",
  ""category"": ""Electronics"",
  ""subcategory"": ""Cameras & Optics"",
  ""brand"": ""Canon"",
  ""modelno"": ""EF-S 10-22mm f/3.5-4.5 USM"",
  ""sku"": ""12345ABCD"",
  ""key_features"": [""Ultra-wide angle zoom"", ""USM focus motor"", ""Compact and lightweight""]
}
","{
  ""title"": ""\""Canon EF 85mm F1.8 USM""@en Aden Camera ""@en "" Canon USM | Digital SLR Cameras Toronto Canada Store"",
  ""category"": ""Photography"",
  ""subcategory"": ""Lenses"",
  ""brand"": ""Canon"",
  ""modelno"": ""EF 85mm F1.8 USM"",
  ""sku"": """",
  ""key_features"": [""F1.8 Aperture"", ""USM Autofocus"", ""Full-Frame Compatibility""]
}
",0
35,1051,551,"{
  ""title"": ""\""Bateria Para Leica GEB121\""@es bateria Pentax Baterias y cargadores Sokkia theodolite Gowin kolida \""Baterias topografia para estacion totales Topcon leica \""@es Bateria"",
  ""category"": ""Electronics"",
  ""subcategory"": ""Accessories"",
  ""brand"": ""Leica"",
  ""modelno"": ""GEB121"",
  ""sku"": ""Bateria"",
  ""key_features"": [""Compatibility with Leica devices"", ""Long battery life"", ""Easy to charge""]
}
","{'title': 'Sony HDR-CX110 HD Handycam Camcorder (Blue)', 'category': 'Electronics', 'subcategory': 'Cameras & Camcorders', 'brand': 'Sony', 'modelno': 'HDR-CX110', 'sku': 'HDRCX110', 'key_features': ['HD', 'Handycam', 'Camcorder', 'Blue']}",0
